GlcADG,[M+NH4]+,[M-C6H9O6-NH4+H+H]+,[DAG-H20],sn1 loss,sn2 loss
GlcADG(15:0_20:5)+NH4,794.54184,601.4832,583.47264,359.25875,299.25875
GlcADG(15:0_21:0)+NH4,818.63574,625.5771,607.56654,383.35265,299.25881
GlcADG(15:0_22:0)+NH4,832.65139,639.59275,621.58219,397.3683,299.25882
GlcADG(15:0_22:1)+NH4,830.63574,637.5771,619.56654,395.35265,299.25881
GlcADG(15:0_22:2)+NH4,828.62009,635.56145,617.55089,393.337,299.2588
GlcADG(15:0_22:4)+NH4,824.58879,631.53015,613.51959,389.3057,299.25878
GlcADG(15:0_22:5)+NH4,822.57314,629.5145,611.50394,387.29005,299.25877
GlcADG(15:0_22:6)+NH4,820.55749,627.49885,609.48829,385.2744,299.25876
GlcADG(15:0_23:0)+NH4,846.66704,653.6084,635.59784,411.38395,299.25883
GlcADG(15:0_24:0)+NH4,860.68269,667.62405,649.61349,425.3996,299.25884
GlcADG(15:0_24:1)+NH4,858.66704,665.6084,647.59784,423.38395,299.25883
GlcADG(15:0_24:4)+NH4,852.62009,659.56145,641.55089,417.337,299.2588
GlcADG(15:0_25:0)+NH4,874.69834,681.6397,663.62914,439.41525,299.25885
GlcADG(15:0_26:0)+NH4,888.71399,695.65535,677.64479,453.4309,299.25886
GlcADG(15:0_26:1)+NH4,886.69834,693.6397,675.62914,451.41525,299.25885
GlcADG(15:0_26:2)+NH4,884.68269,691.62405,673.61349,449.3996,299.25884
GlcADG(15:0_3:0)+NH4,566.35403,373.29539,355.28483,131.07095,299.25863
GlcADG(15:0_4:0)+NH4,580.36968,387.31104,369.30048,145.0866,299.25864
GlcADG(15:0_5:0)+NH4,594.38533,401.32669,383.31613,159.10225,299.25865
GlcADG(15:0_6:0)+NH4,608.40098,415.34234,397.33178,173.1179,299.25866
GlcADG(15:0_7:0)+NH4,622.41664,429.358,411.34744,187.13355,299.25867
GlcADG(15:0_8:0)+NH4,636.43229,443.37365,425.36309,201.1492,299.25868
GlcADG(15:0_9:0)+NH4,650.44794,457.3893,439.37874,215.16485,299.25869
GlcADG(15:1_15:1)+NH4,730.51054,537.4519,519.44134,297.24309,297.24309
GlcADG(15:1_16:0)+NH4,746.54184,553.4832,535.47264,313.27439,297.24311
GlcADG(15:1_16:1)+NH4,744.52619,551.46755,533.45699,311.25874,297.2431
GlcADG(15:1_17:0)+NH4,760.55749,567.49885,549.48829,327.29004,297.24312
GlcADG(15:1_17:1)+NH4,758.54184,565.4832,547.47264,325.27439,297.24311
GlcADG(15:1_17:2)+NH4,756.52619,563.46755,545.45699,323.25874,297.2431
GlcADG(15:1_18:0)+NH4,774.57314,581.5145,563.50394,341.30569,297.24313
GlcADG(15:1_18:1)+NH4,772.55749,579.49885,561.48829,339.29004,297.24312
GlcADG(15:1_18:2)+NH4,770.54184,577.4832,559.47264,337.27439,297.24311
GlcADG(15:1_18:3)+NH4,768.52619,575.46755,557.45699,335.25874,297.2431
GlcADG(15:1_18:4)+NH4,766.51054,573.4519,555.44134,333.24309,297.24309
GlcADG(15:1_19:0)+NH4,788.58879,595.53015,577.51959,355.32134,297.24314
GlcADG(15:1_2:0)+NH4,550.32273,357.26409,339.25353,117.05529,297.24297
GlcADG(15:1_20:0)+NH4,802.60444,609.5458,591.53524,369.33699,297.24315
GlcADG(15:1_20:1)+NH4,800.58879,607.53015,589.51959,367.32134,297.24314
GlcADG(15:1_20:2)+NH4,798.57314,605.5145,587.50394,365.30569,297.24313
GlcADG(15:1_20:3)+NH4,796.55749,603.49885,585.48829,363.29004,297.24312
GlcADG(15:1_20:4)+NH4,794.54184,601.4832,583.47264,361.27439,297.24311
GlcADG(15:1_20:5)+NH4,792.52619,599.46755,581.45699,359.25874,297.2431
GlcADG(15:1_21:0)+NH4,816.62009,623.56145,605.55089,383.35264,297.24316
GlcADG(15:1_22:0)+NH4,830.63574,637.5771,619.56654,397.36829,297.24317
GlcADG(15:1_22:1)+NH4,828.62009,635.56145,617.55089,395.35264,297.24316
GlcADG(15:1_22:2)+NH4,826.60444,633.5458,615.53524,393.33699,297.24315
GlcADG(15:1_22:4)+NH4,822.57314,629.5145,611.50394,389.30569,297.24313
GlcADG(15:1_22:5)+NH4,820.55749,627.49885,609.48829,387.29004,297.24312
GlcADG(15:1_22:6)+NH4,818.54184,625.4832,607.47264,385.27439,297.24311
GlcADG(15:1_23:0)+NH4,844.65139,651.59275,633.58219,411.38394,297.24318
GlcADG(15:1_24:0)+NH4,858.66704,665.6084,647.59784,425.39959,297.24319
GlcADG(15:1_24:1)+NH4,856.65139,663.59275,645.58219,423.38394,297.24318
GlcADG(15:1_24:4)+NH4,850.60444,657.5458,639.53524,417.33699,297.24315
GlcADG(15:1_25:0)+NH4,872.68269,679.62405,661.61349,439.41524,297.2432
GlcADG(15:1_26:0)+NH4,886.69834,693.6397,675.62914,453.43089,297.24321
GlcADG(15:1_26:1)+NH4,884.68269,691.62405,673.61349,451.41524,297.2432
GlcADG(15:1_26:2)+NH4,882.66704,689.6084,671.59784,449.39959,297.24319
GlcADG(15:1_3:0)+NH4,564.33838,371.27974,353.26918,131.07094,297.24298
GlcADG(15:1_4:0)+NH4,578.35403,385.29539,367.28483,145.08659,297.24299
GlcADG(15:1_5:0)+NH4,592.36968,399.31104,381.30048,159.10224,297.243
GlcADG(15:1_6:0)+NH4,606.38533,413.32669,395.31613,173.11789,297.24301
GlcADG(15:1_7:0)+NH4,620.40098,427.34234,409.33178,187.13354,297.24302
GlcADG(15:1_8:0)+NH4,634.41664,441.358,423.34744,201.14919,297.24303
GlcADG(15:1_9:0)+NH4,648.43229,455.37365,437.36309,215.16484,297.24304
GlcADG(16:0_16:0)+NH4,762.57314,569.5145,551.50394,313.27441,313.27441
GlcADG(16:0_16:1)+NH4,760.55749,567.49885,549.48829,311.25876,313.2744
GlcADG(16:0_17:0)+NH4,776.58879,583.53015,565.51959,327.29006,313.27442
GlcADG(16:0_17:1)+NH4,774.57314,581.5145,563.50394,325.27441,313.27441
GlcADG(16:0_17:2)+NH4,772.55749,579.49885,561.48829,323.25876,313.2744
GlcADG(16:0_18:0)+NH4,790.60444,597.5458,579.53524,341.30571,313.27443
GlcADG(16:0_18:1)+NH4,788.58879,595.53015,577.51959,339.29006,313.27442
GlcADG(16:0_18:2)+NH4,786.57314,593.5145,575.50394,337.27441,313.27441
GlcADG(16:0_18:3)+NH4,784.55749,591.49885,573.48829,335.25876,313.2744
GlcADG(16:0_18:4)+NH4,782.54184,589.4832,571.47264,333.24311,313.27439
GlcADG(16:0_19:0)+NH4,804.62009,611.56145,593.55089,355.32136,313.27444
GlcADG(16:0_2:0)+NH4,566.35403,373.29539,355.28483,117.05531,313.27427
GlcADG(16:0_20:0)+NH4,818.63574,625.5771,607.56654,369.33701,313.27445
GlcADG(16:0_20:1)+NH4,816.62009,623.56145,605.55089,367.32136,313.27444
GlcADG(16:0_20:2)+NH4,814.60444,621.5458,603.53524,365.30571,313.27443
GlcADG(16:0_20:3)+NH4,812.58879,619.53015,601.51959,363.29006,313.27442
GlcADG(16:0_20:4)+NH4,810.57314,617.5145,599.50394,361.27441,313.27441
GlcADG(16:0_20:5)+NH4,808.55749,615.49885,597.48829,359.25876,313.2744
GlcADG(16:0_21:0)+NH4,832.65139,639.59275,621.58219,383.35266,313.27446
GlcADG(16:0_22:0)+NH4,846.66704,653.6084,635.59784,397.36831,313.27447
GlcADG(16:0_22:1)+NH4,844.65139,651.59275,633.58219,395.35266,313.27446
GlcADG(16:0_22:2)+NH4,842.63574,649.5771,631.56654,393.33701,313.27445
GlcADG(16:0_22:4)+NH4,838.60444,645.5458,627.53524,389.30571,313.27443
GlcADG(16:0_22:5)+NH4,836.58879,643.53015,625.51959,387.29006,313.27442
GlcADG(16:0_22:6)+NH4,834.57314,641.5145,623.50394,385.27441,313.27441
GlcADG(16:0_23:0)+NH4,860.68269,667.62405,649.61349,411.38396,313.27448
GlcADG(16:0_24:0)+NH4,874.69834,681.6397,663.62914,425.39961,313.27449
GlcADG(16:0_24:1)+NH4,872.68269,679.62405,661.61349,423.38396,313.27448
GlcADG(16:0_24:4)+NH4,866.63574,673.5771,655.56654,417.33701,313.27445
GlcADG(16:0_25:0)+NH4,888.71399,695.65535,677.64479,439.41526,313.2745
GlcADG(16:0_26:0)+NH4,902.72964,709.671,691.66044,453.43091,313.27451
GlcADG(16:0_26:1)+NH4,900.71399,707.65535,689.64479,451.41526,313.2745
GlcADG(16:0_26:2)+NH4,898.69834,705.6397,687.62914,449.39961,313.27449
GlcADG(16:0_3:0)+NH4,580.36968,387.31104,369.30048,131.07096,313.27428
GlcADG(16:0_4:0)+NH4,594.38533,401.32669,383.31613,145.08661,313.27429
GlcADG(16:0_5:0)+NH4,608.40098,415.34234,397.33178,159.10226,313.2743
GlcADG(16:0_6:0)+NH4,622.41664,429.358,411.34744,173.11791,313.27431
GlcADG(16:0_7:0)+NH4,636.43229,443.37365,425.36309,187.13356,313.27432
GlcADG(16:0_8:0)+NH4,650.44794,457.3893,439.37874,201.14921,313.27433
GlcADG(16:0_9:0)+NH4,664.46359,471.40495,453.39439,215.16486,313.27434
GlcADG(16:1_16:1)+NH4,758.54184,565.4832,547.47264,311.25875,311.25875
GlcADG(16:1_17:0)+NH4,774.57314,581.5145,563.50394,327.29005,311.25877
GlcADG(16:1_17:1)+NH4,772.55749,579.49885,561.48829,325.2744,311.25876
GlcADG(16:1_17:2)+NH4,770.54184,577.4832,559.47264,323.25875,311.25875
GlcADG(16:1_18:0)+NH4,788.58879,595.53015,577.51959,341.3057,311.25878
GlcADG(16:1_18:1)+NH4,786.57314,593.5145,575.50394,339.29005,311.25877
GlcADG(16:1_18:2)+NH4,784.55749,591.49885,573.48829,337.2744,311.25876
GlcADG(16:1_18:3)+NH4,782.54184,589.4832,571.47264,335.25875,311.25875
GlcADG(16:1_18:4)+NH4,780.52619,587.46755,569.45699,333.2431,311.25874
GlcADG(16:1_19:0)+NH4,802.60444,609.5458,591.53524,355.32135,311.25879
GlcADG(16:1_2:0)+NH4,564.33838,371.27974,353.26918,117.0553,311.25862
GlcADG(16:1_20:0)+NH4,816.62009,623.56145,605.55089,369.337,311.2588
GlcADG(16:1_20:1)+NH4,814.60444,621.5458,603.53524,367.32135,311.25879
GlcADG(16:1_20:2)+NH4,812.58879,619.53015,601.51959,365.3057,311.25878
GlcADG(16:1_20:3)+NH4,810.57314,617.5145,599.50394,363.29005,311.25877
GlcADG(16:1_20:4)+NH4,808.55749,615.49885,597.48829,361.2744,311.25876
GlcADG(16:1_20:5)+NH4,806.54184,613.4832,595.47264,359.25875,311.25875
GlcADG(16:1_21:0)+NH4,830.63574,637.5771,619.56654,383.35265,311.25881
GlcADG(16:1_22:0)+NH4,844.65139,651.59275,633.58219,397.3683,311.25882
GlcADG(16:1_22:1)+NH4,842.63574,649.5771,631.56654,395.35265,311.25881
GlcADG(16:1_22:2)+NH4,840.62009,647.56145,629.55089,393.337,311.2588
GlcADG(16:1_22:4)+NH4,836.58879,643.53015,625.51959,389.3057,311.25878
GlcADG(16:1_22:5)+NH4,834.57314,641.5145,623.50394,387.29005,311.25877
GlcADG(16:1_22:6)+NH4,832.55749,639.49885,621.48829,385.2744,311.25876
GlcADG(16:1_23:0)+NH4,858.66704,665.6084,647.59784,411.38395,311.25883
GlcADG(16:1_24:0)+NH4,872.68269,679.62405,661.61349,425.3996,311.25884
GlcADG(16:1_24:1)+NH4,870.66704,677.6084,659.59784,423.38395,311.25883
GlcADG(16:1_24:4)+NH4,864.62009,671.56145,653.55089,417.337,311.2588
GlcADG(16:1_25:0)+NH4,886.69834,693.6397,675.62914,439.41525,311.25885
GlcADG(16:1_26:0)+NH4,900.71399,707.65535,689.64479,453.4309,311.25886
GlcADG(16:1_26:1)+NH4,898.69834,705.6397,687.62914,451.41525,311.25885
GlcADG(16:1_26:2)+NH4,896.68269,703.62405,685.61349,449.3996,311.25884
GlcADG(16:1_3:0)+NH4,578.35403,385.29539,367.28483,131.07095,311.25863
GlcADG(16:1_4:0)+NH4,592.36968,399.31104,381.30048,145.0866,311.25864
GlcADG(16:1_5:0)+NH4,606.38533,413.32669,395.31613,159.10225,311.25865
GlcADG(16:1_6:0)+NH4,620.40098,427.34234,409.33178,173.1179,311.25866
GlcADG(16:1_7:0)+NH4,634.41664,441.358,423.34744,187.13355,311.25867
GlcADG(16:1_8:0)+NH4,648.43229,455.37365,437.36309,201.1492,311.25868
GlcADG(16:1_9:0)+NH4,662.44794,469.3893,451.37874,215.16485,311.25869
GlcADG(17:0_17:0)+NH4,790.60444,597.5458,579.53524,327.29007,327.29007
GlcADG(17:0_17:1)+NH4,788.58879,595.53015,577.51959,325.27442,327.29006
GlcADG(17:0_17:2)+NH4,786.57314,593.5145,575.50394,323.25877,327.29005
GlcADG(17:0_18:0)+NH4,804.62009,611.56145,593.55089,341.30572,327.29008
GlcADG(17:0_18:1)+NH4,802.60444,609.5458,591.53524,339.29007,327.29007
GlcADG(17:0_18:2)+NH4,800.58879,607.53015,589.51959,337.27442,327.29006
GlcADG(17:0_18:3)+NH4,798.57314,605.5145,587.50394,335.25877,327.29005
GlcADG(17:0_18:4)+NH4,796.55749,603.49885,585.48829,333.24312,327.29004
GlcADG(17:0_19:0)+NH4,818.63574,625.5771,607.56654,355.32137,327.29009
GlcADG(17:0_2:0)+NH4,580.36968,387.31104,369.30048,117.05532,327.28992
GlcADG(17:0_20:0)+NH4,832.65139,639.59275,621.58219,369.33702,327.2901
GlcADG(17:0_20:1)+NH4,830.63574,637.5771,619.56654,367.32137,327.29009
GlcADG(17:0_20:2)+NH4,828.62009,635.56145,617.55089,365.30572,327.29008
GlcADG(17:0_20:3)+NH4,826.60444,633.5458,615.53524,363.29007,327.29007
GlcADG(17:0_20:4)+NH4,824.58879,631.53015,613.51959,361.27442,327.29006
GlcADG(17:0_20:5)+NH4,822.57314,629.5145,611.50394,359.25877,327.29005
GlcADG(17:0_21:0)+NH4,846.66704,653.6084,635.59784,383.35267,327.29011
GlcADG(17:0_22:0)+NH4,860.68269,667.62405,649.61349,397.36832,327.29012
GlcADG(17:0_22:1)+NH4,858.66704,665.6084,647.59784,395.35267,327.29011
GlcADG(17:0_22:2)+NH4,856.65139,663.59275,645.58219,393.33702,327.2901
GlcADG(17:0_22:4)+NH4,852.62009,659.56145,641.55089,389.30572,327.29008
GlcADG(17:0_22:5)+NH4,850.60444,657.5458,639.53524,387.29007,327.29007
GlcADG(17:0_22:6)+NH4,848.58879,655.53015,637.51959,385.27442,327.29006
GlcADG(17:0_23:0)+NH4,874.69834,681.6397,663.62914,411.38397,327.29013
GlcADG(17:0_24:0)+NH4,888.71399,695.65535,677.64479,425.39962,327.29014
GlcADG(17:0_24:1)+NH4,886.69834,693.6397,675.62914,423.38397,327.29013
GlcADG(17:0_24:4)+NH4,880.65139,687.59275,669.58219,417.33702,327.2901
GlcADG(17:0_25:0)+NH4,902.72964,709.671,691.66044,439.41527,327.29015
GlcADG(17:0_26:0)+NH4,916.74529,723.68665,705.67609,453.43092,327.29016
GlcADG(17:0_26:1)+NH4,914.72964,721.671,703.66044,451.41527,327.29015
GlcADG(17:0_26:2)+NH4,912.71399,719.65535,701.64479,449.39962,327.29014
GlcADG(17:0_3:0)+NH4,594.38533,401.32669,383.31613,131.07097,327.28993
GlcADG(17:0_4:0)+NH4,608.40098,415.34234,397.33178,145.08662,327.28994
GlcADG(17:0_5:0)+NH4,622.41664,429.358,411.34744,159.10227,327.28995
GlcADG(17:0_6:0)+NH4,636.43229,443.37365,425.36309,173.11792,327.28996
GlcADG(17:0_7:0)+NH4,650.44794,457.3893,439.37874,187.13357,327.28997
GlcADG(17:0_8:0)+NH4,664.46359,471.40495,453.39439,201.14922,327.28998
GlcADG(17:0_9:0)+NH4,678.47924,485.4206,467.41004,215.16487,327.28999
GlcADG(17:1_17:1)+NH4,786.57314,593.5145,575.50394,325.27441,325.27441
GlcADG(17:1_17:2)+NH4,784.55749,591.49885,573.48829,323.25876,325.2744
GlcADG(17:1_18:0)+NH4,802.60444,609.5458,591.53524,341.30571,325.27443
GlcADG(17:1_18:1)+NH4,800.58879,607.53015,589.51959,339.29006,325.27442
GlcADG(17:1_18:2)+NH4,798.57314,605.5145,587.50394,337.27441,325.27441
GlcADG(17:1_18:3)+NH4,796.55749,603.49885,585.48829,335.25876,325.2744
GlcADG(17:1_18:4)+NH4,794.54184,601.4832,583.47264,333.24311,325.27439
GlcADG(17:1_19:0)+NH4,816.62009,623.56145,605.55089,355.32136,325.27444
GlcADG(17:1_2:0)+NH4,578.35403,385.29539,367.28483,117.05531,325.27427
GlcADG(17:1_20:0)+NH4,830.63574,637.5771,619.56654,369.33701,325.27445
GlcADG(17:1_20:1)+NH4,828.62009,635.56145,617.55089,367.32136,325.27444
GlcADG(17:1_20:2)+NH4,826.60444,633.5458,615.53524,365.30571,325.27443
GlcADG(17:1_20:3)+NH4,824.58879,631.53015,613.51959,363.29006,325.27442
GlcADG(17:1_20:4)+NH4,822.57314,629.5145,611.50394,361.27441,325.27441
GlcADG(17:1_20:5)+NH4,820.55749,627.49885,609.48829,359.25876,325.2744
GlcADG(17:1_21:0)+NH4,844.65139,651.59275,633.58219,383.35266,325.27446
GlcADG(17:1_22:0)+NH4,858.66704,665.6084,647.59784,397.36831,325.27447
GlcADG(17:1_22:1)+NH4,856.65139,663.59275,645.58219,395.35266,325.27446
GlcADG(17:1_22:2)+NH4,854.63574,661.5771,643.56654,393.33701,325.27445
GlcADG(17:1_22:4)+NH4,850.60444,657.5458,639.53524,389.30571,325.27443
GlcADG(17:1_22:5)+NH4,848.58879,655.53015,637.51959,387.29006,325.27442
GlcADG(17:1_22:6)+NH4,846.57314,653.5145,635.50394,385.27441,325.27441
GlcADG(17:1_23:0)+NH4,872.68269,679.62405,661.61349,411.38396,325.27448
GlcADG(17:1_24:0)+NH4,886.69834,693.6397,675.62914,425.39961,325.27449
GlcADG(17:1_24:1)+NH4,884.68269,691.62405,673.61349,423.38396,325.27448
GlcADG(17:1_24:4)+NH4,878.63574,685.5771,667.56654,417.33701,325.27445
GlcADG(17:1_25:0)+NH4,900.71399,707.65535,689.64479,439.41526,325.2745
GlcADG(17:1_26:0)+NH4,914.72964,721.671,703.66044,453.43091,325.27451
GlcADG(17:1_26:1)+NH4,912.71399,719.65535,701.64479,451.41526,325.2745
GlcADG(17:1_26:2)+NH4,910.69834,717.6397,699.62914,449.39961,325.27449
GlcADG(17:1_3:0)+NH4,592.36968,399.31104,381.30048,131.07096,325.27428
GlcADG(17:1_4:0)+NH4,606.38533,413.32669,395.31613,145.08661,325.27429
GlcADG(17:1_5:0)+NH4,620.40098,427.34234,409.33178,159.10226,325.2743
GlcADG(17:1_6:0)+NH4,634.41664,441.358,423.34744,173.11791,325.27431
GlcADG(17:1_7:0)+NH4,648.43229,455.37365,437.36309,187.13356,325.27432
GlcADG(17:1_8:0)+NH4,662.44794,469.3893,451.37874,201.14921,325.27433
GlcADG(17:1_9:0)+NH4,676.46359,483.40495,465.39439,215.16486,325.27434
GlcADG(17:2_17:2)+NH4,782.54184,589.4832,571.47264,323.25875,323.25875
GlcADG(17:2_18:0)+NH4,800.58879,607.53015,589.51959,341.3057,323.25878
GlcADG(17:2_18:1)+NH4,798.57314,605.5145,587.50394,339.29005,323.25877
GlcADG(17:2_18:2)+NH4,796.55749,603.49885,585.48829,337.2744,323.25876
GlcADG(17:2_18:3)+NH4,794.54184,601.4832,583.47264,335.25875,323.25875
GlcADG(17:2_18:4)+NH4,792.52619,599.46755,581.45699,333.2431,323.25874
GlcADG(17:2_19:0)+NH4,814.60444,621.5458,603.53524,355.32135,323.25879
GlcADG(17:2_2:0)+NH4,576.33838,383.27974,365.26918,117.0553,323.25862
GlcADG(17:2_20:0)+NH4,828.62009,635.56145,617.55089,369.337,323.2588
GlcADG(17:2_20:1)+NH4,826.60444,633.5458,615.53524,367.32135,323.25879
GlcADG(17:2_20:2)+NH4,824.58879,631.53015,613.51959,365.3057,323.25878
GlcADG(17:2_20:3)+NH4,822.57314,629.5145,611.50394,363.29005,323.25877
GlcADG(17:2_20:4)+NH4,820.55749,627.49885,609.48829,361.2744,323.25876
GlcADG(17:2_20:5)+NH4,818.54184,625.4832,607.47264,359.25875,323.25875
GlcADG(17:2_21:0)+NH4,842.63574,649.5771,631.56654,383.35265,323.25881
GlcADG(17:2_22:0)+NH4,856.65139,663.59275,645.58219,397.3683,323.25882
GlcADG(17:2_22:1)+NH4,854.63574,661.5771,643.56654,395.35265,323.25881
GlcADG(17:2_22:2)+NH4,852.62009,659.56145,641.55089,393.337,323.2588
GlcADG(17:2_22:4)+NH4,848.58879,655.53015,637.51959,389.3057,323.25878
GlcADG(17:2_22:5)+NH4,846.57314,653.5145,635.50394,387.29005,323.25877
GlcADG(17:2_22:6)+NH4,844.55749,651.49885,633.48829,385.2744,323.25876
GlcADG(17:2_23:0)+NH4,870.66704,677.6084,659.59784,411.38395,323.25883
GlcADG(17:2_24:0)+NH4,884.68269,691.62405,673.61349,425.3996,323.25884
GlcADG(17:2_24:1)+NH4,882.66704,689.6084,671.59784,423.38395,323.25883
GlcADG(17:2_24:4)+NH4,876.62009,683.56145,665.55089,417.337,323.2588
GlcADG(17:2_25:0)+NH4,898.69834,705.6397,687.62914,439.41525,323.25885
GlcADG(17:2_26:0)+NH4,912.71399,719.65535,701.64479,453.4309,323.25886
GlcADG(17:2_26:1)+NH4,910.69834,717.6397,699.62914,451.41525,323.25885
GlcADG(17:2_26:2)+NH4,908.68269,715.62405,697.61349,449.3996,323.25884
GlcADG(17:2_3:0)+NH4,590.35403,397.29539,379.28483,131.07095,323.25863
GlcADG(17:2_4:0)+NH4,604.36968,411.31104,393.30048,145.0866,323.25864
GlcADG(17:2_5:0)+NH4,618.38533,425.32669,407.31613,159.10225,323.25865
GlcADG(17:2_6:0)+NH4,632.40098,439.34234,421.33178,173.1179,323.25866
GlcADG(17:2_7:0)+NH4,646.41664,453.358,435.34744,187.13355,323.25867
GlcADG(17:2_8:0)+NH4,660.43229,467.37365,449.36309,201.1492,323.25868
GlcADG(17:2_9:0)+NH4,674.44794,481.3893,463.37874,215.16485,323.25869
GlcADG(18:0_18:0)+NH4,818.63574,625.5771,607.56654,341.30573,341.30573
GlcADG(18:0_18:1)+NH4,816.62009,623.56145,605.55089,339.29008,341.30572
GlcADG(18:0_18:2)+NH4,814.60444,621.5458,603.53524,337.27443,341.30571
GlcADG(18:0_18:3)+NH4,812.58879,619.53015,601.51959,335.25878,341.3057
GlcADG(18:0_18:4)+NH4,810.57314,617.5145,599.50394,333.24313,341.30569
GlcADG(18:0_19:0)+NH4,832.65139,639.59275,621.58219,355.32138,341.30574
GlcADG(18:0_2:0)+NH4,594.38533,401.32669,383.31613,117.05533,341.30557
GlcADG(18:0_20:0)+NH4,846.66704,653.6084,635.59784,369.33703,341.30575
GlcADG(18:0_20:1)+NH4,844.65139,651.59275,633.58219,367.32138,341.30574
GlcADG(18:0_20:2)+NH4,842.63574,649.5771,631.56654,365.30573,341.30573
GlcADG(18:0_20:3)+NH4,840.62009,647.56145,629.55089,363.29008,341.30572
GlcADG(18:0_20:4)+NH4,838.60444,645.5458,627.53524,361.27443,341.30571
GlcADG(18:0_20:5)+NH4,836.58879,643.53015,625.51959,359.25878,341.3057
GlcADG(18:0_21:0)+NH4,860.68269,667.62405,649.61349,383.35268,341.30576
GlcADG(18:0_22:0)+NH4,874.69834,681.6397,663.62914,397.36833,341.30577
GlcADG(18:0_22:1)+NH4,872.68269,679.62405,661.61349,395.35268,341.30576
GlcADG(18:0_22:2)+NH4,870.66704,677.6084,659.59784,393.33703,341.30575
GlcADG(18:0_22:4)+NH4,866.63574,673.5771,655.56654,389.30573,341.30573
GlcADG(18:0_22:5)+NH4,864.62009,671.56145,653.55089,387.29008,341.30572
GlcADG(18:0_22:6)+NH4,862.60444,669.5458,651.53524,385.27443,341.30571
GlcADG(18:0_23:0)+NH4,888.71399,695.65535,677.64479,411.38398,341.30578
GlcADG(18:0_24:0)+NH4,902.72964,709.671,691.66044,425.39963,341.30579
GlcADG(18:0_24:1)+NH4,900.71399,707.65535,689.64479,423.38398,341.30578
GlcADG(18:0_24:4)+NH4,894.66704,701.6084,683.59784,417.33703,341.30575
GlcADG(18:0_25:0)+NH4,916.74529,723.68665,705.67609,439.41528,341.3058
GlcADG(18:0_26:0)+NH4,930.76094,737.7023,719.69174,453.43093,341.30581
GlcADG(18:0_26:1)+NH4,928.74529,735.68665,717.67609,451.41528,341.3058
GlcADG(18:0_26:2)+NH4,926.72964,733.671,715.66044,449.39963,341.30579
GlcADG(18:0_3:0)+NH4,608.40098,415.34234,397.33178,131.07098,341.30558
GlcADG(18:0_4:0)+NH4,622.41664,429.358,411.34744,145.08663,341.30559
GlcADG(18:0_5:0)+NH4,636.43229,443.37365,425.36309,159.10228,341.3056
GlcADG(18:0_6:0)+NH4,650.44794,457.3893,439.37874,173.11793,341.30561
GlcADG(18:0_7:0)+NH4,664.46359,471.40495,453.39439,187.13358,341.30562
GlcADG(18:0_8:0)+NH4,678.47924,485.4206,467.41004,201.14923,341.30563
GlcADG(18:0_9:0)+NH4,692.49489,499.43625,481.42569,215.16488,341.30564
GlcADG(18:1_18:1)+NH4,814.60444,621.5458,603.53524,339.29007,339.29007
GlcADG(18:1_18:2)+NH4,812.58879,619.53015,601.51959,337.27442,339.29006
GlcADG(18:1_18:3)+NH4,810.57314,617.5145,599.50394,335.25877,339.29005
GlcADG(18:1_18:4)+NH4,808.55749,615.49885,597.48829,333.24312,339.29004
GlcADG(18:1_19:0)+NH4,830.63574,637.5771,619.56654,355.32137,339.29009
