OxPE,[M-H]-,FA SN2,FA SN2-H2O,FA SN2-2H2O,FA SN1,C5H11NO5P
OxPE(16:0_18:0(1O))-H,734.5336,299.2592,281.2486,0.01,255.2323,196.038
OxPE(16:0_18:0(1O(1Cyc)))-H,732.5179,297.2435,0.01,0.01,255.2323,196.038
OxPE(16:0_18:0(2O))-H,750.5285,315.2541,297.2435,279.233,255.2323,196.038
OxPE(16:0_18:1(1O))-H,732.5179,297.2435,279.233,0.01,255.2323,196.038
OxPE(16:0_18:1(1O(1Cyc)))-H,730.5023,295.2279,0.01,0.01,255.2323,196.038
OxPE(16:0_18:1(2O))-H,748.5129,313.2384,295.2279,277.2173,255.2323,196.038
OxPE(16:0_18:1(3O))-H,764.5078,329.2333,311.2228,293.2122,255.2323,196.038
OxPE(16:0_18:2(1O))-H,730.5023,295.2279,277.2173,0.01,255.2323,196.038
OxPE(16:0_18:2(2O))-H,746.4972,311.2228,293.2122,275.2017,255.2323,196.038
OxPE(16:0_18:3(1O))-H,728.4866,293.2122,275.2017,0.01,255.2323,196.038
OxPE(16:0_20:3(1O))-H,756.5179,321.2435,303.233,0.01,255.2323,196.038
OxPE(16:0_20:3(1O(1Cyc)))-H,754.5023,319.2279,0.01,0.01,255.2323,196.038
OxPE(16:0_20:3(2O))-H,772.5129,337.2384,319.2279,301.2173,255.2323,196.038
OxPE(16:0_20:3(2O(1Cyc)))-H,770.4972,335.2228,317.2122,0.01,255.2323,196.038
OxPE(16:0_20:3(3O))-H,788.5078,353.2333,335.2228,317.2122,255.2323,196.038
OxPE(16:0_20:3(4O(1Cyc)))-H,804.5027,369.2283,351.2177,333.2072,255.2323,196.038
OxPE(16:0_20:4(1O))-H,754.5023,319.2279,301.2173,0.01,255.2323,196.038
OxPE(16:0_20:4(1O(1Cyc)))-H,752.4866,317.2122,0.01,0.01,255.2323,196.038
OxPE(16:0_20:4(2O))-H,770.4972,335.2228,317.2122,299.2017,255.2323,196.038
OxPE(16:0_20:4(3O))-H,786.4921,351.2177,333.2072,315.1966,255.2323,196.038
OxPE(16:0_20:4(3O(2Cyc)))-H,786.4921,351.2177,333.2072,0.01,255.2323,196.038
OxPE(16:0_20:4(4O(1Cyc)))-H,802.4871,367.2126,349.2021,331.1915,255.2323,196.038
OxPE(16:0_20:4(4O(2Cyc)))-H,802.4871,367.2126,349.2021,331.1915,255.2323,196.038
OxPE(16:0_20:5(1O))-H,752.4866,317.2122,299.2017,0.01,255.2323,196.038
OxPE(16:0_20:5(1O(1Cyc)))-H,750.471,315.1966,0.01,0.01,255.2323,196.038
OxPE(16:0_20:5(2O))-H,768.4816,333.2071,315.1966,297.186,255.2323,196.038
OxPE(16:0_20:5(3O))-H,784.4765,349.2021,331.1915,313.1809,255.2323,196.038
OxPE(16:0_20:5(3O(2Cyc)))-H,784.4765,349.2021,331.1915,0.01,255.2323,196.038
OxPE(16:0_20:5(4O(2Cyc)))-H,800.4714,365.197,347.1864,329.1758,255.2323,196.038
OxPE(16:0_22:5(1O(1Cyc)))-H,778.5023,343.2279,0.01,0.01,255.2323,196.038
OxPE(16:0_22:5(2O))-H,796.5129,361.2384,343.2279,325.2173,255.2323,196.038
OxPE(16:0_22:6(1O))-H,778.5023,343.2279,325.2173,0.01,255.2323,196.038
OxPE(16:0_22:6(2O))-H,794.4972,359.2228,341.2122,323.2017,255.2323,196.038
OxPE(16:0_22:6(3O))-H,810.4921,375.2177,357.2072,339.1966,255.2323,196.038
OxPE(16:0_22:6(4O))-H,826.4871,391.2126,373.2021,355.1915,255.2323,196.038
OxPE(18:0_18:0(1O))-H,762.5649,299.2592,281.2486,0.01,283.2635,196.038
OxPE(18:0_18:0(1O(1Cyc)))-H,760.5493,297.2435,0.01,0.01,283.2635,196.038
OxPE(18:0_18:0(2O))-H,778.5598,315.2541,297.2435,279.233,283.2635,196.038
OxPE(18:0_18:1(1O))-H,760.5493,297.2435,279.233,0.01,283.2635,196.038
OxPE(18:0_18:1(1O(1Cyc)))-H,758.5336,295.2279,0.01,0.01,283.2635,196.038
OxPE(18:0_18:1(2O))-H,776.5442,313.2384,295.2279,277.2173,283.2635,196.038
OxPE(18:0_18:1(3O))-H,792.5391,329.2333,311.2228,293.2122,283.2635,196.038
OxPE(18:0_18:2(1O))-H,758.5336,295.2279,277.2173,0.01,283.2635,196.038
OxPE(18:0_18:2(2O))-H,774.5285,311.2228,293.2122,275.2017,283.2635,196.038
OxPE(18:0_18:3(1O))-H,756.5179,293.2122,275.2017,0.01,283.2635,196.038
OxPE(18:0_20:3(1O))-H,784.5493,321.2435,303.233,0.01,283.2635,196.038
OxPE(18:0_20:3(1O(1Cyc)))-H,782.5336,319.2279,0.01,0.01,283.2635,196.038
OxPE(18:0_20:3(2O))-H,800.5442,337.2384,319.2279,301.2173,283.2635,196.038
OxPE(18:0_20:3(2O(1Cyc)))-H,798.5285,335.2228,317.2122,0.01,283.2635,196.038
OxPE(18:0_20:3(3O))-H,816.5391,353.2333,335.2228,317.2122,283.2635,196.038
OxPE(18:0_20:3(4O(1Cyc)))-H,832.534,369.2283,351.2177,333.2072,283.2635,196.038
OxPE(18:0_20:4(1O))-H,782.5336,319.2279,301.2173,0.01,283.2635,196.038
OxPE(18:0_20:4(1O(1Cyc)))-H,780.5179,317.2122,0.01,0.01,283.2635,196.038
OxPE(18:0_20:4(2O))-H,798.5285,335.2228,317.2122,299.2017,283.2635,196.038
OxPE(18:0_20:4(3O))-H,814.5234,351.2177,333.2072,315.1966,283.2635,196.038
OxPE(18:0_20:4(3O(2Cyc)))-H,814.5234,351.2177,333.2072,0.01,283.2635,196.038
OxPE(18:0_20:4(4O(1Cyc)))-H,830.5183,367.2126,349.2021,331.1915,283.2635,196.038
OxPE(18:0_20:4(4O(2Cyc)))-H,830.5183,367.2126,349.2021,331.1915,283.2635,196.038
OxPE(18:0_20:5(1O))-H,780.5179,317.2122,299.2017,0.01,283.2635,196.038
OxPE(18:0_20:5(1O(1Cyc)))-H,778.5023,315.1966,0.01,0.01,283.2635,196.038
OxPE(18:0_20:5(2O))-H,796.5129,333.2071,315.1966,297.186,283.2635,196.038
OxPE(18:0_20:5(3O))-H,812.5078,349.2021,331.1915,313.1809,283.2635,196.038
OxPE(18:0_20:5(3O(2Cyc)))-H,812.5078,349.2021,331.1915,0.01,283.2635,196.038
OxPE(18:0_20:5(4O(2Cyc)))-H,828.5027,365.197,347.1864,329.1758,283.2635,196.038
OxPE(18:0_22:5(1O(1Cyc)))-H,806.5336,343.2279,0.01,0.01,283.2635,196.038
OxPE(18:0_22:5(2O))-H,824.5442,361.2384,343.2279,325.2173,283.2635,196.038
OxPE(18:0_22:6(1O))-H,806.5336,343.2279,325.2173,0.01,283.2635,196.038
OxPE(18:0_22:6(2O))-H,822.5285,359.2228,341.2122,323.2017,283.2635,196.038
OxPE(18:0_22:6(3O))-H,838.5234,375.2177,357.2072,339.1966,283.2635,196.038
OxPE(18:0_22:6(4O))-H,854.5183,391.2126,373.2021,355.1915,283.2635,196.038
OxPE(18:1_18:0(1O))-H,760.5493,299.2592,281.2486,0.01,281.2479,196.038
OxPE(18:1_18:0(1O(1Cyc)))-H,758.5336,297.2435,0.01,0.01,281.2479,196.038
OxPE(18:1_18:0(2O))-H,776.5442,315.2541,297.2435,279.233,281.2479,196.038
OxPE(18:1_18:1(1O))-H,758.5336,297.2435,279.233,0.01,281.2479,196.038
OxPE(18:1_18:1(1O(1Cyc)))-H,756.5179,295.2279,0.01,0.01,281.2479,196.038
OxPE(18:1_18:1(2O))-H,774.5285,313.2384,295.2279,277.2173,281.2479,196.038
OxPE(18:1_18:1(3O))-H,790.5234,329.2333,311.2228,293.2122,281.2479,196.038
OxPE(18:1_18:2(1O))-H,756.5179,295.2279,277.2173,0.01,281.2479,196.038
OxPE(18:1_18:2(2O))-H,772.5129,311.2228,293.2122,275.2017,281.2479,196.038
OxPE(18:1_18:3(1O))-H,754.5023,293.2122,275.2017,0.01,281.2479,196.038
OxPE(18:1_20:3(1O))-H,782.5336,321.2435,303.233,0.01,281.2479,196.038
OxPE(18:1_20:3(1O(1Cyc)))-H,780.5179,319.2279,0.01,0.01,281.2479,196.038
OxPE(18:1_20:3(2O))-H,798.5285,337.2384,319.2279,301.2173,281.2479,196.038
OxPE(18:1_20:3(2O(1Cyc)))-H,796.5129,335.2228,317.2122,0.01,281.2479,196.038
OxPE(18:1_20:3(3O))-H,814.5234,353.2333,335.2228,317.2122,281.2479,196.038
OxPE(18:1_20:3(4O(1Cyc)))-H,830.5183,369.2283,351.2177,333.2072,281.2479,196.038
OxPE(18:1_20:4(1O))-H,780.5179,319.2279,301.2173,0.01,281.2479,196.038
OxPE(18:1_20:4(1O(1Cyc)))-H,778.5023,317.2122,0.01,0.01,281.2479,196.038
OxPE(18:1_20:4(2O))-H,796.5129,335.2228,317.2122,299.2017,281.2479,196.038
OxPE(18:1_20:4(3O))-H,812.5078,351.2177,333.2072,315.1966,281.2479,196.038
OxPE(18:1_20:4(3O(2Cyc)))-H,812.5078,351.2177,333.2072,0.01,281.2479,196.038
OxPE(18:1_20:4(4O(1Cyc)))-H,828.5027,367.2126,349.2021,331.1915,281.2479,196.038
OxPE(18:1_20:4(4O(2Cyc)))-H,828.5027,367.2126,349.2021,331.1915,281.2479,196.038
OxPE(18:1_20:5(1O))-H,778.5023,317.2122,299.2017,0.01,281.2479,196.038
OxPE(18:1_20:5(1O(1Cyc)))-H,776.4866,315.1966,0.01,0.01,281.2479,196.038
OxPE(18:1_20:5(2O))-H,794.4972,333.2071,315.1966,297.186,281.2479,196.038
OxPE(18:1_20:5(3O))-H,810.4921,349.2021,331.1915,313.1809,281.2479,196.038
OxPE(18:1_20:5(3O(2Cyc)))-H,810.4921,349.2021,331.1915,0.01,281.2479,196.038
OxPE(18:1_20:5(4O(2Cyc)))-H,826.4871,365.197,347.1864,329.1758,281.2479,196.038
OxPE(18:1_22:5(1O(1Cyc)))-H,804.5179,343.2279,0.01,0.01,281.2479,196.038
OxPE(18:1_22:5(2O))-H,822.5285,361.2384,343.2279,325.2173,281.2479,196.038
OxPE(18:1_22:6(1O))-H,804.5179,343.2279,325.2173,0.01,281.2479,196.038
OxPE(18:1_22:6(2O))-H,820.5129,359.2228,341.2122,323.2017,281.2479,196.038
OxPE(18:1_22:6(3O))-H,836.5078,375.2177,357.2072,339.1966,281.2479,196.038
OxPE(18:1_22:6(4O))-H,852.5027,391.2126,373.2021,355.1915,281.2479,196.038
