Plasmenyl-PC,[M+C2H3O2]-,NL_CH3&C2H3O2,NL_Choline&C2H3O2,NL_T2Ketene&CH3&C2H3O2,NL_T2RCOOH&CH3&C2H3O2,NL_T2RCOOH_Choline_C2H3O2,GlyceroPC_NLCH3&H2O,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmenyl-PC(P-16:0/10:0)+C2H3O2,692.4872,618.45042,547.37692,464.31465,446.30409,375.2306,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/12:0)+C2H3O2,720.5185,646.48172,575.40822,464.31465,446.30409,375.2306,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/13:0)+C2H3O2,734.5342,660.49742,589.42392,464.31465,446.30409,375.2306,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/14:0)+C2H3O2,748.5498,674.51302,603.43952,464.31465,446.30409,375.2306,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/14:1)+C2H3O2,746.5342,672.49742,601.42392,464.31465,446.30409,375.2306,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/15:0)+C2H3O2,762.5655,688.52872,617.45522,464.31465,446.30409,375.2306,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/15:1)+C2H3O2,760.5498,686.51302,615.43952,464.31465,446.30409,375.2306,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/16:0)+C2H3O2,776.5811,702.54432,631.47082,464.31465,446.30409,375.2306,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/16:1)+C2H3O2,774.5655,700.52872,629.45522,464.31465,446.30409,375.2306,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/17:0)+C2H3O2,790.5968,716.56002,645.48652,464.31465,446.30409,375.2306,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/17:1)+C2H3O2,788.5811,714.54432,643.47082,464.31465,446.30409,375.2306,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/17:2)+C2H3O2,786.5655,712.52872,641.45522,464.31465,446.30409,375.2306,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/18:0)+C2H3O2,804.6124,730.57562,659.50212,464.31465,446.30409,375.2306,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/18:1)+C2H3O2,802.5968,728.56002,657.48652,464.31465,446.30409,375.2306,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/18:2)+C2H3O2,800.5811,726.54432,655.47082,464.31465,446.30409,375.2306,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/18:3)+C2H3O2,798.5655,724.52872,653.45522,464.31465,446.30409,375.2306,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/18:4)+C2H3O2,796.5498,722.51302,651.43952,464.31465,446.30409,375.2306,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/19:0)+C2H3O2,818.6281,744.59132,673.51782,464.31465,446.30409,375.2306,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/20:0)+C2H3O2,832.6437,758.60692,687.53342,464.31465,446.30409,375.2306,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/20:1)+C2H3O2,830.6281,756.59132,685.51782,464.31465,446.30409,375.2306,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/20:2)+C2H3O2,828.6124,754.57562,683.50212,464.31465,446.30409,375.2306,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/20:3)+C2H3O2,826.5968,752.56002,681.48652,464.31465,446.30409,375.2306,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/20:4)+C2H3O2,824.5811,750.54432,679.47082,464.31465,446.30409,375.2306,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/20:5)+C2H3O2,822.5655,748.52872,677.45522,464.31465,446.30409,375.2306,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/21:0)+C2H3O2,846.6594,772.62262,701.54912,464.31465,446.30409,375.2306,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:0)+C2H3O2,860.675,786.63822,715.56472,464.31465,446.30409,375.2306,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:1)+C2H3O2,858.6594,784.62262,713.54912,464.31465,446.30409,375.2306,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:2)+C2H3O2,856.6437,782.60692,711.53342,464.31465,446.30409,375.2306,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:3)+C2H3O2,854.6281,780.59132,709.51782,464.31465,446.30409,375.2306,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:4)+C2H3O2,852.6124,778.57562,707.50212,464.31465,446.30409,375.2306,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:5)+C2H3O2,850.5968,776.56002,705.48652,464.31465,446.30409,375.2306,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:6)+C2H3O2,848.5811,774.54432,703.47082,464.31465,446.30409,375.2306,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/23:0)+C2H3O2,874.6907,800.65392,729.58042,464.31465,446.30409,375.2306,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/24:0)+C2H3O2,888.7063,814.66952,743.59602,464.31465,446.30409,375.2306,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/24:1)+C2H3O2,886.6907,812.65392,741.58042,464.31465,446.30409,375.2306,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/25:0)+C2H3O2,902.722,828.68522,757.61172,464.31465,446.30409,375.2306,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/26:0)+C2H3O2,916.7376,842.70082,771.62732,464.31465,446.30409,375.2306,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/8:0)+C2H3O2,664.4559,590.41912,519.34562,464.31465,446.30409,375.2306,224.06881,143.10775,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/10:0)+C2H3O2,690.4716,616.43482,545.36132,462.29905,444.28849,373.215,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/12:0)+C2H3O2,718.5029,644.46612,573.39262,462.29905,444.28849,373.215,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/13:0)+C2H3O2,732.5186,658.48182,587.40832,462.29905,444.28849,373.215,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/14:0)+C2H3O2,746.5342,672.49742,601.42392,462.29905,444.28849,373.215,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/14:1)+C2H3O2,744.5186,670.48182,599.40832,462.29905,444.28849,373.215,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/15:0)+C2H3O2,760.5499,686.51312,615.43962,462.29905,444.28849,373.215,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/15:1)+C2H3O2,758.5342,684.49742,613.42392,462.29905,444.28849,373.215,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/16:0)+C2H3O2,774.5655,700.52872,629.45522,462.29905,444.28849,373.215,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/16:1)+C2H3O2,772.5499,698.51312,627.43962,462.29905,444.28849,373.215,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/17:0)+C2H3O2,788.5812,714.54442,643.47092,462.29905,444.28849,373.215,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/17:1)+C2H3O2,786.5655,712.52872,641.45522,462.29905,444.28849,373.215,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/17:2)+C2H3O2,784.5499,710.51312,639.43962,462.29905,444.28849,373.215,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:0)+C2H3O2,802.5968,728.56002,657.48652,462.29905,444.28849,373.215,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:1)+C2H3O2,800.5812,726.54442,655.47092,462.29905,444.28849,373.215,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:2)+C2H3O2,798.5655,724.52872,653.45522,462.29905,444.28849,373.215,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:3)+C2H3O2,796.5499,722.51312,651.43962,462.29905,444.28849,373.215,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:4)+C2H3O2,794.5342,720.49742,649.42392,462.29905,444.28849,373.215,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/19:0)+C2H3O2,816.6125,742.57572,671.50222,462.29905,444.28849,373.215,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:0)+C2H3O2,830.6281,756.59132,685.51782,462.29905,444.28849,373.215,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:1)+C2H3O2,828.6125,754.57572,683.50222,462.29905,444.28849,373.215,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:2)+C2H3O2,826.5968,752.56002,681.48652,462.29905,444.28849,373.215,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:3)+C2H3O2,824.5812,750.54442,679.47092,462.29905,444.28849,373.215,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:4)+C2H3O2,822.5655,748.52872,677.45522,462.29905,444.28849,373.215,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:5)+C2H3O2,820.5499,746.51312,675.43962,462.29905,444.28849,373.215,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/21:0)+C2H3O2,844.6438,770.60702,699.53352,462.29905,444.28849,373.215,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:0)+C2H3O2,858.6594,784.62262,713.54912,462.29905,444.28849,373.215,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:1)+C2H3O2,856.6438,782.60702,711.53352,462.29905,444.28849,373.215,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:2)+C2H3O2,854.6281,780.59132,709.51782,462.29905,444.28849,373.215,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:3)+C2H3O2,852.6125,778.57572,707.50222,462.29905,444.28849,373.215,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:4)+C2H3O2,850.5968,776.56002,705.48652,462.29905,444.28849,373.215,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:5)+C2H3O2,848.5812,774.54442,703.47092,462.29905,444.28849,373.215,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:6)+C2H3O2,846.5655,772.52872,701.45522,462.29905,444.28849,373.215,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/23:0)+C2H3O2,872.6751,798.63832,727.56482,462.29905,444.28849,373.215,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/24:0)+C2H3O2,886.6907,812.65392,741.58042,462.29905,444.28849,373.215,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/24:1)+C2H3O2,884.6751,810.63832,739.56482,462.29905,444.28849,373.215,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/25:0)+C2H3O2,900.7064,826.66962,755.59612,462.29905,444.28849,373.215,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/26:0)+C2H3O2,914.722,840.68522,769.61172,462.29905,444.28849,373.215,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/8:0)+C2H3O2,662.4403,588.40352,517.33002,462.29905,444.28849,373.215,224.06881,143.10775,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/10:0)+C2H3O2,720.5185,646.48172,575.40822,492.34595,474.33539,403.2619,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/12:0)+C2H3O2,748.5498,674.51302,603.43952,492.34595,474.33539,403.2619,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/13:0)+C2H3O2,762.5655,688.52872,617.45522,492.34595,474.33539,403.2619,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/14:0)+C2H3O2,776.5811,702.54432,631.47082,492.34595,474.33539,403.2619,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/14:1)+C2H3O2,774.5655,700.52872,629.45522,492.34595,474.33539,403.2619,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/15:0)+C2H3O2,790.5968,716.56002,645.48652,492.34595,474.33539,403.2619,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/15:1)+C2H3O2,788.5811,714.54432,643.47082,492.34595,474.33539,403.2619,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/16:0)+C2H3O2,804.6124,730.57562,659.50212,492.34595,474.33539,403.2619,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/16:1)+C2H3O2,802.5968,728.56002,657.48652,492.34595,474.33539,403.2619,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/17:0)+C2H3O2,818.6281,744.59132,673.51782,492.34595,474.33539,403.2619,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/17:1)+C2H3O2,816.6124,742.57562,671.50212,492.34595,474.33539,403.2619,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/17:2)+C2H3O2,814.5968,740.56002,669.48652,492.34595,474.33539,403.2619,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/18:0)+C2H3O2,832.6437,758.60692,687.53342,492.34595,474.33539,403.2619,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/18:1)+C2H3O2,830.6281,756.59132,685.51782,492.34595,474.33539,403.2619,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/18:2)+C2H3O2,828.6124,754.57562,683.50212,492.34595,474.33539,403.2619,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/18:3)+C2H3O2,826.5968,752.56002,681.48652,492.34595,474.33539,403.2619,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/18:4)+C2H3O2,824.5811,750.54432,679.47082,492.34595,474.33539,403.2619,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/19:0)+C2H3O2,846.6594,772.62262,701.54912,492.34595,474.33539,403.2619,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/20:0)+C2H3O2,860.675,786.63822,715.56472,492.34595,474.33539,403.2619,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/20:1)+C2H3O2,858.6594,784.62262,713.54912,492.34595,474.33539,403.2619,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/20:2)+C2H3O2,856.6437,782.60692,711.53342,492.34595,474.33539,403.2619,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/20:3)+C2H3O2,854.6281,780.59132,709.51782,492.34595,474.33539,403.2619,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/20:4)+C2H3O2,852.6124,778.57562,707.50212,492.34595,474.33539,403.2619,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/20:5)+C2H3O2,850.5968,776.56002,705.48652,492.34595,474.33539,403.2619,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/21:0)+C2H3O2,874.6907,800.65392,729.58042,492.34595,474.33539,403.2619,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:0)+C2H3O2,888.7063,814.66952,743.59602,492.34595,474.33539,403.2619,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:1)+C2H3O2,886.6907,812.65392,741.58042,492.34595,474.33539,403.2619,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:2)+C2H3O2,884.675,810.63822,739.56472,492.34595,474.33539,403.2619,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:3)+C2H3O2,882.6594,808.62262,737.54912,492.34595,474.33539,403.2619,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:4)+C2H3O2,880.6437,806.60692,735.53342,492.34595,474.33539,403.2619,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:5)+C2H3O2,878.6281,804.59132,733.51782,492.34595,474.33539,403.2619,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:6)+C2H3O2,876.6124,802.57562,731.50212,492.34595,474.33539,403.2619,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/23:0)+C2H3O2,902.722,828.68522,757.61172,492.34595,474.33539,403.2619,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/24:0)+C2H3O2,916.7376,842.70082,771.62732,492.34595,474.33539,403.2619,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/24:1)+C2H3O2,914.722,840.68522,769.61172,492.34595,474.33539,403.2619,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/25:0)+C2H3O2,930.7533,856.71652,785.64302,492.34595,474.33539,403.2619,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/26:0)+C2H3O2,944.7689,870.73212,799.65862,492.34595,474.33539,403.2619,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/8:0)+C2H3O2,692.4872,618.45042,547.37692,492.34595,474.33539,403.2619,224.06881,143.10775,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/10:0)+C2H3O2,718.5029,644.46612,573.39262,490.33035,472.31979,401.2463,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/12:0)+C2H3O2,746.5342,672.49742,601.42392,490.33035,472.31979,401.2463,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/13:0)+C2H3O2,760.5499,686.51312,615.43962,490.33035,472.31979,401.2463,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/14:0)+C2H3O2,774.5655,700.52872,629.45522,490.33035,472.31979,401.2463,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/14:1)+C2H3O2,772.5499,698.51312,627.43962,490.33035,472.31979,401.2463,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/15:0)+C2H3O2,788.5812,714.54442,643.47092,490.33035,472.31979,401.2463,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/15:1)+C2H3O2,786.5655,712.52872,641.45522,490.33035,472.31979,401.2463,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/16:0)+C2H3O2,802.5968,728.56002,657.48652,490.33035,472.31979,401.2463,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/16:1)+C2H3O2,800.5812,726.54442,655.47092,490.33035,472.31979,401.2463,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/17:0)+C2H3O2,816.6125,742.57572,671.50222,490.33035,472.31979,401.2463,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/17:1)+C2H3O2,814.5968,740.56002,669.48652,490.33035,472.31979,401.2463,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/17:2)+C2H3O2,812.5812,738.54442,667.47092,490.33035,472.31979,401.2463,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/18:0)+C2H3O2,830.6281,756.59132,685.51782,490.33035,472.31979,401.2463,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/18:1)+C2H3O2,828.6125,754.57572,683.50222,490.33035,472.31979,401.2463,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/18:2)+C2H3O2,826.5968,752.56002,681.48652,490.33035,472.31979,401.2463,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/18:3)+C2H3O2,824.5812,750.54442,679.47092,490.33035,472.31979,401.2463,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/18:4)+C2H3O2,822.5655,748.52872,677.45522,490.33035,472.31979,401.2463,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/19:0)+C2H3O2,844.6438,770.60702,699.53352,490.33035,472.31979,401.2463,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:0)+C2H3O2,858.6594,784.62262,713.54912,490.33035,472.31979,401.2463,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:1)+C2H3O2,856.6438,782.60702,711.53352,490.33035,472.31979,401.2463,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:2)+C2H3O2,854.6281,780.59132,709.51782,490.33035,472.31979,401.2463,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:3)+C2H3O2,852.6125,778.57572,707.50222,490.33035,472.31979,401.2463,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:4)+C2H3O2,850.5968,776.56002,705.48652,490.33035,472.31979,401.2463,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:5)+C2H3O2,848.5812,774.54442,703.47092,490.33035,472.31979,401.2463,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
