Plasmenyl-PS,[M-H]-,M-Serine,NL_T2Ketene&serene,NL_T2RCOOH,T2_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmenyl-PS(P-18:0/8:0)-H,634.40891,547.37689,421.27242,403.26186,143.10775,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/10:0)-H,660.42461,573.39259,419.25682,401.24626,171.13905,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/12:0)-H,688.45591,601.42389,419.25682,401.24626,199.17035,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/13:0)-H,702.47161,615.43959,419.25682,401.24626,213.18605,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/14:0)-H,716.48721,629.45519,419.25682,401.24626,227.20165,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/14:1)-H,714.47161,627.43959,419.25682,401.24626,225.18605,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/15:0)-H,730.50291,643.47089,419.25682,401.24626,241.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/15:1)-H,728.48721,641.45519,419.25682,401.24626,239.20165,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/16:0)-H,744.51851,657.48649,419.25682,401.24626,255.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/16:1)-H,742.50291,655.47089,419.25682,401.24626,253.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/17:0)-H,758.53421,671.50219,419.25682,401.24626,269.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/17:1)-H,756.51851,669.48649,419.25682,401.24626,267.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/17:2)-H,754.50291,667.47089,419.25682,401.24626,265.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/18:0)-H,772.54981,685.51779,419.25682,401.24626,283.26425,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/18:1)-H,770.53421,683.50219,419.25682,401.24626,281.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/18:2)-H,768.51851,681.48649,419.25682,401.24626,279.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/18:3)-H,766.50291,679.47089,419.25682,401.24626,277.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/18:4)-H,764.48721,677.45519,419.25682,401.24626,275.20165,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/19:0)-H,786.56551,699.53349,419.25682,401.24626,297.27995,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/20:0)-H,800.58111,713.54909,419.25682,401.24626,311.29555,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/20:1)-H,798.56551,711.53349,419.25682,401.24626,309.27995,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/20:2)-H,796.54981,709.51779,419.25682,401.24626,307.26425,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/20:3)-H,794.53421,707.50219,419.25682,401.24626,305.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/20:4)-H,792.51851,705.48649,419.25682,401.24626,303.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/20:5)-H,790.50291,703.47089,419.25682,401.24626,301.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/21:0)-H,814.59681,727.56479,419.25682,401.24626,325.31125,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/22:0)-H,828.61241,741.58039,419.25682,401.24626,339.32685,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/22:1)-H,826.59681,739.56479,419.25682,401.24626,337.31125,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/22:2)-H,824.58111,737.54909,419.25682,401.24626,335.29555,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/22:3)-H,822.56551,735.53349,419.25682,401.24626,333.27995,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/22:4)-H,820.54981,733.51779,419.25682,401.24626,331.26425,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/22:5)-H,818.53421,731.50219,419.25682,401.24626,329.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/22:6)-H,816.51851,729.48649,419.25682,401.24626,327.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/23:0)-H,842.62811,755.59609,419.25682,401.24626,353.34255,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/24:0)-H,856.64371,769.61169,419.25682,401.24626,367.35815,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/24:1)-H,854.62811,767.59609,419.25682,401.24626,365.34255,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/25:0)-H,870.65941,783.62739,419.25682,401.24626,381.37385,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/26:0)-H,884.67501,797.64299,419.25682,401.24626,395.38945,152.99586,96.96964,78.95852
Plasmenyl-PS(P-18:1/8:0)-H,632.39331,545.36129,419.25682,401.24626,143.10775,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/10:0)-H,690.47151,603.43949,449.30372,431.29316,171.13905,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/12:0)-H,718.50281,631.47079,449.30372,431.29316,199.17035,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/13:0)-H,732.51851,645.48649,449.30372,431.29316,213.18605,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/14:0)-H,746.53411,659.50209,449.30372,431.29316,227.20165,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/14:1)-H,744.51851,657.48649,449.30372,431.29316,225.18605,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/15:0)-H,760.54981,673.51779,449.30372,431.29316,241.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/15:1)-H,758.53411,671.50209,449.30372,431.29316,239.20165,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/16:0)-H,774.56541,687.53339,449.30372,431.29316,255.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/16:1)-H,772.54981,685.51779,449.30372,431.29316,253.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/17:0)-H,788.58111,701.54909,449.30372,431.29316,269.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/17:1)-H,786.56541,699.53339,449.30372,431.29316,267.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/17:2)-H,784.54981,697.51779,449.30372,431.29316,265.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/18:0)-H,802.59671,715.56469,449.30372,431.29316,283.26425,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/18:1)-H,800.58111,713.54909,449.30372,431.29316,281.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/18:2)-H,798.56541,711.53339,449.30372,431.29316,279.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/18:3)-H,796.54981,709.51779,449.30372,431.29316,277.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/18:4)-H,794.53411,707.50209,449.30372,431.29316,275.20165,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/19:0)-H,816.61241,729.58039,449.30372,431.29316,297.27995,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/20:0)-H,830.62801,743.59599,449.30372,431.29316,311.29555,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/20:1)-H,828.61241,741.58039,449.30372,431.29316,309.27995,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/20:2)-H,826.59671,739.56469,449.30372,431.29316,307.26425,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/20:3)-H,824.58111,737.54909,449.30372,431.29316,305.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/20:4)-H,822.56541,735.53339,449.30372,431.29316,303.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/20:5)-H,820.54981,733.51779,449.30372,431.29316,301.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/21:0)-H,844.64371,757.61169,449.30372,431.29316,325.31125,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/22:0)-H,858.65931,771.62729,449.30372,431.29316,339.32685,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/22:1)-H,856.64371,769.61169,449.30372,431.29316,337.31125,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/22:2)-H,854.62801,767.59599,449.30372,431.29316,335.29555,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/22:3)-H,852.61241,765.58039,449.30372,431.29316,333.27995,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/22:4)-H,850.59671,763.56469,449.30372,431.29316,331.26425,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/22:5)-H,848.58111,761.54909,449.30372,431.29316,329.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/22:6)-H,846.56541,759.53339,449.30372,431.29316,327.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/23:0)-H,872.67501,785.64299,449.30372,431.29316,353.34255,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/24:0)-H,886.69061,799.65859,449.30372,431.29316,367.35815,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/24:1)-H,884.67501,797.64299,449.30372,431.29316,365.34255,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/25:0)-H,900.70631,813.67429,449.30372,431.29316,381.37385,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/26:0)-H,914.72191,827.68989,449.30372,431.29316,395.38945,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:0/8:0)-H,662.44021,575.40819,449.30372,431.29316,143.10775,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/10:0)-H,688.45591,601.42389,447.28812,429.27756,171.13905,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/12:0)-H,716.48721,629.45519,447.28812,429.27756,199.17035,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/13:0)-H,730.50291,643.47089,447.28812,429.27756,213.18605,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/14:0)-H,744.51851,657.48649,447.28812,429.27756,227.20165,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/14:1)-H,742.50291,655.47089,447.28812,429.27756,225.18605,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/15:0)-H,758.53421,671.50219,447.28812,429.27756,241.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/15:1)-H,756.51851,669.48649,447.28812,429.27756,239.20165,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/16:0)-H,772.54981,685.51779,447.28812,429.27756,255.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/16:1)-H,770.53421,683.50219,447.28812,429.27756,253.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/17:0)-H,786.56551,699.53349,447.28812,429.27756,269.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/17:1)-H,784.54981,697.51779,447.28812,429.27756,267.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/17:2)-H,782.53421,695.50219,447.28812,429.27756,265.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/18:0)-H,800.58111,713.54909,447.28812,429.27756,283.26425,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/18:1)-H,798.56551,711.53349,447.28812,429.27756,281.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/18:2)-H,796.54981,709.51779,447.28812,429.27756,279.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/18:3)-H,794.53421,707.50219,447.28812,429.27756,277.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/18:4)-H,792.51851,705.48649,447.28812,429.27756,275.20165,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/19:0)-H,814.59681,727.56479,447.28812,429.27756,297.27995,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/20:0)-H,828.61241,741.58039,447.28812,429.27756,311.29555,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/20:1)-H,826.59681,739.56479,447.28812,429.27756,309.27995,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/20:2)-H,824.58111,737.54909,447.28812,429.27756,307.26425,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/20:3)-H,822.56551,735.53349,447.28812,429.27756,305.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/20:4)-H,820.54981,733.51779,447.28812,429.27756,303.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/20:5)-H,818.53421,731.50219,447.28812,429.27756,301.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/21:0)-H,842.62811,755.59609,447.28812,429.27756,325.31125,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/22:0)-H,856.64371,769.61169,447.28812,429.27756,339.32685,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/22:1)-H,854.62811,767.59609,447.28812,429.27756,337.31125,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/22:2)-H,852.61241,765.58039,447.28812,429.27756,335.29555,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/22:3)-H,850.59681,763.56479,447.28812,429.27756,333.27995,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/22:4)-H,848.58111,761.54909,447.28812,429.27756,331.26425,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/22:5)-H,846.56551,759.53349,447.28812,429.27756,329.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/22:6)-H,844.54981,757.51779,447.28812,429.27756,327.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/23:0)-H,870.65941,783.62739,447.28812,429.27756,353.34255,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/24:0)-H,884.67501,797.64299,447.28812,429.27756,367.35815,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/24:1)-H,882.65941,795.62739,447.28812,429.27756,365.34255,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/25:0)-H,898.69071,811.65869,447.28812,429.27756,381.37385,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/26:0)-H,912.70631,825.67429,447.28812,429.27756,395.38945,152.99586,96.96964,78.95852
Plasmenyl-PS(P-20:1/8:0)-H,660.42461,573.39259,447.28812,429.27756,143.10775,152.99586,96.96964,78.95852
