CL,[M+NH4]+,(sn1+sn2)+,(sn1'+sn2')+
CL(28:0)(28:0)+NH4,1258.8809,495.4408872,495.4408872
CL(28:0)(30:0)+NH4,1286.9122,495.4408872,523.4721872
CL(28:0)(30:1)+NH4,1284.8965,495.4408872,521.4564872
CL(28:0)(32:0)+NH4,1314.9435,495.4408872,551.5034872
CL(28:0)(32:1)+NH4,1312.9278,495.4408872,549.4877872
CL(28:0)(32:2)+NH4,1310.9122,495.4408872,547.4721872
CL(28:0)(32:3)+NH4,1308.8965,495.4408872,545.4564872
CL(28:0)(34:0)+NH4,1342.9747,495.4408872,579.5346872
CL(28:0)(34:1)+NH4,1340.9591,495.4408872,577.5190872
CL(28:0)(34:2)+NH4,1338.9435,495.4408872,575.5034872
CL(28:0)(34:3)+NH4,1336.9278,495.4408872,573.4877872
CL(28:0)(34:4)+NH4,1334.9122,495.4408872,571.4721872
CL(28:0)(36:0)+NH4,1371.006,495.4408872,607.5659872
CL(28:0)(36:1)+NH4,1368.9904,495.4408872,605.5503872
CL(28:0)(36:2)+NH4,1366.9747,495.4408872,603.5346872
CL(28:0)(36:3)+NH4,1364.9591,495.4408872,601.5190872
CL(28:0)(36:4)+NH4,1362.9435,495.4408872,599.5034872
CL(28:0)(36:5)+NH4,1360.9278,495.4408872,597.4877872
CL(28:0)(36:6)+NH4,1358.9122,495.4408872,595.4721872
CL(28:0)(38:0)+NH4,1399.0373,495.4408872,635.5972872
CL(28:0)(38:1)+NH4,1397.0216,495.4408872,633.5815872
CL(28:0)(38:2)+NH4,1395.006,495.4408872,631.5659872
CL(28:0)(38:3)+NH4,1392.9904,495.4408872,629.5503872
CL(28:0)(38:4)+NH4,1390.9747,495.4408872,627.5346872
CL(28:0)(38:5)+NH4,1388.9591,495.4408872,625.5190872
CL(28:0)(38:6)+NH4,1386.9435,495.4408872,623.5034872
CL(28:0)(38:7)+NH4,1384.9278,495.4408872,621.4877872
CL(28:0)(40:0)+NH4,1427.0686,495.4408872,663.6285872
CL(28:0)(40:1)+NH4,1425.0529,495.4408872,661.6128872
CL(28:0)(40:2)+NH4,1423.0373,495.4408872,659.5972872
CL(28:0)(40:3)+NH4,1421.0216,495.4408872,657.5815872
CL(28:0)(40:4)+NH4,1419.006,495.4408872,655.5659872
CL(28:0)(40:5)+NH4,1416.9904,495.4408872,653.5503872
CL(28:0)(40:6)+NH4,1414.9747,495.4408872,651.5346872
CL(28:0)(40:7)+NH4,1412.9591,495.4408872,649.5190872
CL(28:0)(40:8)+NH4,1410.9435,495.4408872,647.5034872
CL(28:0)(40:9)+NH4,1408.9278,495.4408872,645.4877872
CL(28:0)(42:0)+NH4,1455.0999,495.4408872,691.6598872
CL(28:0)(42:1)+NH4,1453.0842,495.4408872,689.6441872
CL(28:0)(42:10)+NH4,1434.9435,495.4408872,671.5034872
CL(28:0)(42:2)+NH4,1451.0686,495.4408872,687.6285872
CL(28:0)(42:3)+NH4,1449.0529,495.4408872,685.6128872
CL(28:0)(42:4)+NH4,1447.0373,495.4408872,683.5972872
CL(28:0)(42:5)+NH4,1445.0216,495.4408872,681.5815872
CL(28:0)(42:6)+NH4,1443.006,495.4408872,679.5659872
CL(28:0)(42:7)+NH4,1440.9904,495.4408872,677.5503872
CL(28:0)(42:8)+NH4,1438.9747,495.4408872,675.5346872
CL(28:0)(42:9)+NH4,1436.9591,495.4408872,673.5190872
CL(28:0)(44:0)+NH4,1483.1311,495.4408872,719.6910872
CL(28:0)(44:10)+NH4,1462.9747,495.4408872,699.5346872
CL(28:0)(44:11)+NH4,1460.9591,495.4408872,697.5190872
CL(28:0)(44:12)+NH4,1458.9435,495.4408872,695.5034872
CL(28:0)(44:5)+NH4,1473.0529,495.4408872,709.6128872
CL(28:0)(44:6)+NH4,1471.0373,495.4408872,707.5972872
CL(28:0)(46:12)+NH4,1486.9736,495.4408872,723.5335872
CL(28:0)(48:12)+NH4,1515.0049,495.4408872,751.5648872
CL(30:0)(30:0)+NH4,1314.9435,523.4721872,523.4721872
CL(30:0)(30:1)+NH4,1312.9278,523.4721872,521.4564872
CL(30:0)(32:0)+NH4,1342.9748,523.4721872,551.5034872
CL(30:0)(32:1)+NH4,1340.9591,523.4721872,549.4877872
CL(30:0)(32:2)+NH4,1338.9435,523.4721872,547.4721872
CL(30:0)(32:3)+NH4,1336.9278,523.4721872,545.4564872
CL(30:0)(34:0)+NH4,1371.006,523.4721872,579.5346872
CL(30:0)(34:1)+NH4,1368.9904,523.4721872,577.5190872
CL(30:0)(34:2)+NH4,1366.9748,523.4721872,575.5034872
CL(30:0)(34:3)+NH4,1364.9591,523.4721872,573.4877872
CL(30:0)(34:4)+NH4,1362.9435,523.4721872,571.4721872
CL(30:0)(36:0)+NH4,1399.0373,523.4721872,607.5659872
CL(30:0)(36:1)+NH4,1397.0217,523.4721872,605.5503872
CL(30:0)(36:2)+NH4,1395.006,523.4721872,603.5346872
CL(30:0)(36:3)+NH4,1392.9904,523.4721872,601.5190872
CL(30:0)(36:4)+NH4,1390.9748,523.4721872,599.5034872
CL(30:0)(36:5)+NH4,1388.9591,523.4721872,597.4877872
CL(30:0)(36:6)+NH4,1386.9435,523.4721872,595.4721872
CL(30:0)(38:0)+NH4,1427.0686,523.4721872,635.5972872
CL(30:0)(38:1)+NH4,1425.0529,523.4721872,633.5815872
CL(30:0)(38:2)+NH4,1423.0373,523.4721872,631.5659872
CL(30:0)(38:3)+NH4,1421.0217,523.4721872,629.5503872
CL(30:0)(38:4)+NH4,1419.006,523.4721872,627.5346872
CL(30:0)(38:5)+NH4,1416.9904,523.4721872,625.5190872
CL(30:0)(38:6)+NH4,1414.9748,523.4721872,623.5034872
CL(30:0)(38:7)+NH4,1412.9591,523.4721872,621.4877872
CL(30:0)(40:0)+NH4,1455.0999,523.4721872,663.6285872
CL(30:0)(40:1)+NH4,1453.0842,523.4721872,661.6128872
CL(30:0)(40:2)+NH4,1451.0686,523.4721872,659.5972872
CL(30:0)(40:3)+NH4,1449.0529,523.4721872,657.5815872
CL(30:0)(40:4)+NH4,1447.0373,523.4721872,655.5659872
CL(30:0)(40:5)+NH4,1445.0217,523.4721872,653.5503872
CL(30:0)(40:6)+NH4,1443.006,523.4721872,651.5346872
CL(30:0)(40:7)+NH4,1440.9904,523.4721872,649.5190872
CL(30:0)(40:8)+NH4,1438.9748,523.4721872,647.5034872
CL(30:0)(40:9)+NH4,1436.9591,523.4721872,645.4877872
CL(30:0)(42:0)+NH4,1483.1312,523.4721872,691.6598872
CL(30:0)(42:1)+NH4,1481.1155,523.4721872,689.6441872
CL(30:0)(42:10)+NH4,1462.9748,523.4721872,671.5034872
CL(30:0)(42:2)+NH4,1479.0999,523.4721872,687.6285872
CL(30:0)(42:3)+NH4,1477.0842,523.4721872,685.6128872
CL(30:0)(42:4)+NH4,1475.0686,523.4721872,683.5972872
CL(30:0)(42:5)+NH4,1473.0529,523.4721872,681.5815872
CL(30:0)(42:6)+NH4,1471.0373,523.4721872,679.5659872
CL(30:0)(42:7)+NH4,1469.0217,523.4721872,677.5503872
CL(30:0)(42:8)+NH4,1467.006,523.4721872,675.5346872
CL(30:0)(42:9)+NH4,1464.9904,523.4721872,673.5190872
CL(30:0)(44:0)+NH4,1511.1624,523.4721872,719.6910872
CL(30:0)(44:10)+NH4,1491.006,523.4721872,699.5346872
CL(30:0)(44:11)+NH4,1488.9904,523.4721872,697.5190872
CL(30:0)(44:12)+NH4,1486.9748,523.4721872,695.5034872
CL(30:0)(44:5)+NH4,1501.0842,523.4721872,709.6128872
CL(30:0)(44:6)+NH4,1499.0686,523.4721872,707.5972872
CL(30:0)(46:12)+NH4,1515.0049,523.4721872,723.5335872
CL(30:0)(48:12)+NH4,1543.0362,523.4721872,751.5648872
CL(30:1)(30:1)+NH4,1310.9121,521.4564872,521.4564872
CL(30:1)(32:0)+NH4,1340.9591,521.4564872,551.5034872
CL(30:1)(32:1)+NH4,1338.9434,521.4564872,549.4877872
CL(30:1)(32:2)+NH4,1336.9278,521.4564872,547.4721872
CL(30:1)(32:3)+NH4,1334.9121,521.4564872,545.4564872
CL(30:1)(34:0)+NH4,1368.9903,521.4564872,579.5346872
CL(30:1)(34:1)+NH4,1366.9747,521.4564872,577.5190872
CL(30:1)(34:2)+NH4,1364.9591,521.4564872,575.5034872
CL(30:1)(34:3)+NH4,1362.9434,521.4564872,573.4877872
CL(30:1)(34:4)+NH4,1360.9278,521.4564872,571.4721872
CL(30:1)(36:0)+NH4,1397.0216,521.4564872,607.5659872
CL(30:1)(36:1)+NH4,1395.006,521.4564872,605.5503872
CL(30:1)(36:2)+NH4,1392.9903,521.4564872,603.5346872
CL(30:1)(36:3)+NH4,1390.9747,521.4564872,601.5190872
CL(30:1)(36:4)+NH4,1388.9591,521.4564872,599.5034872
CL(30:1)(36:5)+NH4,1386.9434,521.4564872,597.4877872
CL(30:1)(36:6)+NH4,1384.9278,521.4564872,595.4721872
CL(30:1)(38:0)+NH4,1425.0529,521.4564872,635.5972872
CL(30:1)(38:1)+NH4,1423.0372,521.4564872,633.5815872
CL(30:1)(38:2)+NH4,1421.0216,521.4564872,631.5659872
CL(30:1)(38:3)+NH4,1419.006,521.4564872,629.5503872
CL(30:1)(38:4)+NH4,1416.9903,521.4564872,627.5346872
CL(30:1)(38:5)+NH4,1414.9747,521.4564872,625.5190872
CL(30:1)(38:6)+NH4,1412.9591,521.4564872,623.5034872
CL(30:1)(38:7)+NH4,1410.9434,521.4564872,621.4877872
CL(30:1)(40:0)+NH4,1453.0842,521.4564872,663.6285872
CL(30:1)(40:1)+NH4,1451.0685,521.4564872,661.6128872
CL(30:1)(40:2)+NH4,1449.0529,521.4564872,659.5972872
CL(30:1)(40:3)+NH4,1447.0372,521.4564872,657.5815872
CL(30:1)(40:4)+NH4,1445.0216,521.4564872,655.5659872
CL(30:1)(40:5)+NH4,1443.006,521.4564872,653.5503872
CL(30:1)(40:6)+NH4,1440.9903,521.4564872,651.5346872
CL(30:1)(40:7)+NH4,1438.9747,521.4564872,649.5190872
CL(30:1)(40:8)+NH4,1436.9591,521.4564872,647.5034872
CL(30:1)(40:9)+NH4,1434.9434,521.4564872,645.4877872
CL(30:1)(42:0)+NH4,1481.1155,521.4564872,691.6598872
CL(30:1)(42:1)+NH4,1479.0998,521.4564872,689.6441872
CL(30:1)(42:10)+NH4,1460.9591,521.4564872,671.5034872
CL(30:1)(42:2)+NH4,1477.0842,521.4564872,687.6285872
CL(30:1)(42:3)+NH4,1475.0685,521.4564872,685.6128872
CL(30:1)(42:4)+NH4,1473.0529,521.4564872,683.5972872
CL(30:1)(42:5)+NH4,1471.0372,521.4564872,681.5815872
CL(30:1)(42:6)+NH4,1469.0216,521.4564872,679.5659872
CL(30:1)(42:7)+NH4,1467.006,521.4564872,677.5503872
CL(30:1)(42:8)+NH4,1464.9903,521.4564872,675.5346872
CL(30:1)(42:9)+NH4,1462.9747,521.4564872,673.5190872
CL(30:1)(44:0)+NH4,1509.1467,521.4564872,719.6910872
CL(30:1)(44:10)+NH4,1488.9903,521.4564872,699.5346872
CL(30:1)(44:11)+NH4,1486.9747,521.4564872,697.5190872
CL(30:1)(44:12)+NH4,1484.9591,521.4564872,695.5034872
CL(30:1)(44:5)+NH4,1499.0685,521.4564872,709.6128872
CL(30:1)(44:6)+NH4,1497.0529,521.4564872,707.5972872
CL(30:1)(46:12)+NH4,1512.9892,521.4564872,723.5335872
CL(30:1)(48:12)+NH4,1541.0205,521.4564872,751.5648872
CL(32:0)(32:0)+NH4,1371.0061,551.5034872,551.5034872
CL(32:0)(32:1)+NH4,1368.9904,551.5034872,549.4877872
CL(32:0)(32:2)+NH4,1366.9748,551.5034872,547.4721872
CL(32:0)(32:3)+NH4,1364.9591,551.5034872,545.4564872
CL(32:0)(34:0)+NH4,1399.0373,551.5034872,579.5346872
CL(32:0)(34:1)+NH4,1397.0217,551.5034872,577.5190872
CL(32:0)(34:2)+NH4,1395.0061,551.5034872,575.5034872
CL(32:0)(34:3)+NH4,1392.9904,551.5034872,573.4877872
CL(32:0)(34:4)+NH4,1390.9748,551.5034872,571.4721872
CL(32:0)(36:0)+NH4,1427.0686,551.5034872,607.5659872
CL(32:0)(36:1)+NH4,1425.053,551.5034872,605.5503872
CL(32:0)(36:2)+NH4,1423.0373,551.5034872,603.5346872
CL(32:0)(36:3)+NH4,1421.0217,551.5034872,601.5190872
CL(32:0)(36:4)+NH4,1419.0061,551.5034872,599.5034872
CL(32:0)(36:5)+NH4,1416.9904,551.5034872,597.4877872
CL(32:0)(36:6)+NH4,1414.9748,551.5034872,595.4721872
CL(32:0)(38:0)+NH4,1455.0999,551.5034872,635.5972872
CL(32:0)(38:1)+NH4,1453.0842,551.5034872,633.5815872
CL(32:0)(38:2)+NH4,1451.0686,551.5034872,631.5659872
CL(32:0)(38:3)+NH4,1449.053,551.5034872,629.5503872
CL(32:0)(38:4)+NH4,1447.0373,551.5034872,627.5346872
CL(32:0)(38:5)+NH4,1445.0217,551.5034872,625.5190872
CL(32:0)(38:6)+NH4,1443.0061,551.5034872,623.5034872
CL(32:0)(38:7)+NH4,1440.9904,551.5034872,621.4877872
CL(32:0)(40:0)+NH4,1483.1312,551.5034872,663.6285872
CL(32:0)(40:1)+NH4,1481.1155,551.5034872,661.6128872
CL(32:0)(40:2)+NH4,1479.0999,551.5034872,659.5972872
CL(32:0)(40:3)+NH4,1477.0842,551.5034872,657.5815872
CL(32:0)(40:4)+NH4,1475.0686,551.5034872,655.5659872
CL(32:0)(40:5)+NH4,1473.053,551.5034872,653.5503872
CL(32:0)(40:6)+NH4,1471.0373,551.5034872,651.5346872
CL(32:0)(40:7)+NH4,1469.0217,551.5034872,649.5190872
CL(32:0)(40:8)+NH4,1467.0061,551.5034872,647.5034872
CL(32:0)(40:9)+NH4,1464.9904,551.5034872,645.4877872
CL(32:0)(42:0)+NH4,1511.1625,551.5034872,691.6598872
CL(32:0)(42:1)+NH4,1509.1468,551.5034872,689.6441872
CL(32:0)(42:10)+NH4,1491.0061,551.5034872,671.5034872
CL(32:0)(42:2)+NH4,1507.1312,551.5034872,687.6285872
CL(32:0)(42:3)+NH4,1505.1155,551.5034872,685.6128872
CL(32:0)(42:4)+NH4,1503.0999,551.5034872,683.5972872
CL(32:0)(42:5)+NH4,1501.0842,551.5034872,681.5815872
CL(32:0)(42:6)+NH4,1499.0686,551.5034872,679.5659872
CL(32:0)(42:7)+NH4,1497.053,551.5034872,677.5503872
CL(32:0)(42:8)+NH4,1495.0373,551.5034872,675.5346872
CL(32:0)(42:9)+NH4,1493.0217,551.5034872,673.5190872
CL(32:0)(44:0)+NH4,1539.1937,551.5034872,719.6910872
CL(32:0)(44:10)+NH4,1519.0373,551.5034872,699.5346872
CL(32:0)(44:11)+NH4,1517.0217,551.5034872,697.5190872
CL(32:0)(44:12)+NH4,1515.0061,551.5034872,695.5034872
CL(32:0)(44:5)+NH4,1529.1155,551.5034872,709.6128872
CL(32:0)(44:6)+NH4,1527.0999,551.5034872,707.5972872
CL(32:0)(46:12)+NH4,1543.0362,551.5034872,723.5335872
CL(32:0)(48:12)+NH4,1571.0675,551.5034872,751.5648872
CL(32:1)(32:1)+NH4,1366.9747,549.4877872,549.4877872
CL(32:1)(32:2)+NH4,1364.9591,549.4877872,547.4721872
CL(32:1)(32:3)+NH4,1362.9434,549.4877872,545.4564872
CL(32:1)(34:0)+NH4,1397.0216,549.4877872,579.5346872
CL(32:1)(34:1)+NH4,1395.006,549.4877872,577.5190872
CL(32:1)(34:2)+NH4,1392.9904,549.4877872,575.5034872
CL(32:1)(34:3)+NH4,1390.9747,549.4877872,573.4877872
CL(32:1)(34:4)+NH4,1388.9591,549.4877872,571.4721872
CL(32:1)(36:0)+NH4,1425.0529,549.4877872,607.5659872
CL(32:1)(36:1)+NH4,1423.0373,549.4877872,605.5503872
CL(32:1)(36:2)+NH4,1421.0216,549.4877872,603.5346872
CL(32:1)(36:3)+NH4,1419.006,549.4877872,601.5190872
CL(32:1)(36:4)+NH4,1416.9904,549.4877872,599.5034872
CL(32:1)(36:5)+NH4,1414.9747,549.4877872,597.4877872
CL(32:1)(36:6)+NH4,1412.9591,549.4877872,595.4721872
CL(32:1)(38:0)+NH4,1453.0842,549.4877872,635.5972872
CL(32:1)(38:1)+NH4,1451.0685,549.4877872,633.5815872
CL(32:1)(38:2)+NH4,1449.0529,549.4877872,631.5659872
CL(32:1)(38:3)+NH4,1447.0373,549.4877872,629.5503872
CL(32:1)(38:4)+NH4,1445.0216,549.4877872,627.5346872
CL(32:1)(38:5)+NH4,1443.006,549.4877872,625.5190872
CL(32:1)(38:6)+NH4,1440.9904,549.4877872,623.5034872
CL(32:1)(38:7)+NH4,1438.9747,549.4877872,621.4877872
CL(32:1)(40:0)+NH4,1481.1155,549.4877872,663.6285872
CL(32:1)(40:1)+NH4,1479.0998,549.4877872,661.6128872
CL(32:1)(40:2)+NH4,1477.0842,549.4877872,659.5972872
CL(32:1)(40:3)+NH4,1475.0685,549.4877872,657.5815872
CL(32:1)(40:4)+NH4,1473.0529,549.4877872,655.5659872
CL(32:1)(40:5)+NH4,1471.0373,549.4877872,653.5503872
CL(32:1)(40:6)+NH4,1469.0216,549.4877872,651.5346872
CL(32:1)(40:7)+NH4,1467.006,549.4877872,649.5190872
CL(32:1)(40:8)+NH4,1464.9904,549.4877872,647.5034872
CL(32:1)(40:9)+NH4,1462.9747,549.4877872,645.4877872
CL(32:1)(42:0)+NH4,1509.1468,549.4877872,691.6598872
CL(32:1)(42:1)+NH4,1507.1311,549.4877872,689.6441872
CL(32:1)(42:10)+NH4,1488.9904,549.4877872,671.5034872
CL(32:1)(42:2)+NH4,1505.1155,549.4877872,687.6285872
CL(32:1)(42:3)+NH4,1503.0998,549.4877872,685.6128872
CL(32:1)(42:4)+NH4,1501.0842,549.4877872,683.5972872
CL(32:1)(42:5)+NH4,1499.0685,549.4877872,681.5815872
CL(32:1)(42:6)+NH4,1497.0529,549.4877872,679.5659872
CL(32:1)(42:7)+NH4,1495.0373,549.4877872,677.5503872
CL(32:1)(42:8)+NH4,1493.0216,549.4877872,675.5346872
CL(32:1)(42:9)+NH4,1491.006,549.4877872,673.5190872
CL(32:1)(44:0)+NH4,1537.178,549.4877872,719.6910872
CL(32:1)(44:10)+NH4,1517.0216,549.4877872,699.5346872
CL(32:1)(44:11)+NH4,1515.006,549.4877872,697.5190872
CL(32:1)(44:12)+NH4,1512.9904,549.4877872,695.5034872
CL(32:1)(44:5)+NH4,1527.0998,549.4877872,709.6128872
CL(32:1)(44:6)+NH4,1525.0842,549.4877872,707.5972872
CL(32:1)(46:12)+NH4,1541.0205,549.4877872,723.5335872
CL(32:1)(48:12)+NH4,1569.0518,549.4877872,751.5648872
CL(32:2)(32:2)+NH4,1362.9435,547.4721872,547.4721872
CL(32:2)(32:3)+NH4,1360.9278,547.4721872,545.4564872
CL(32:2)(34:0)+NH4,1395.006,547.4721872,579.5346872
CL(32:2)(34:1)+NH4,1392.9904,547.4721872,577.5190872
CL(32:2)(34:2)+NH4,1390.9748,547.4721872,575.5034872
CL(32:2)(34:3)+NH4,1388.9591,547.4721872,573.4877872
CL(32:2)(34:4)+NH4,1386.9435,547.4721872,571.4721872
CL(32:2)(36:0)+NH4,1423.0373,547.4721872,607.5659872
CL(32:2)(36:1)+NH4,1421.0217,547.4721872,605.5503872
CL(32:2)(36:2)+NH4,1419.006,547.4721872,603.5346872
CL(32:2)(36:3)+NH4,1416.9904,547.4721872,601.5190872
CL(32:2)(36:4)+NH4,1414.9748,547.4721872,599.5034872
CL(32:2)(36:5)+NH4,1412.9591,547.4721872,597.4877872
CL(32:2)(36:6)+NH4,1410.9435,547.4721872,595.4721872
CL(32:2)(38:0)+NH4,1451.0686,547.4721872,635.5972872
CL(32:2)(38:1)+NH4,1449.0529,547.4721872,633.5815872
CL(32:2)(38:2)+NH4,1447.0373,547.4721872,631.5659872
CL(32:2)(38:3)+NH4,1445.0217,547.4721872,629.5503872
CL(32:2)(38:4)+NH4,1443.006,547.4721872,627.5346872
CL(32:2)(38:5)+NH4,1440.9904,547.4721872,625.5190872
CL(32:2)(38:6)+NH4,1438.9748,547.4721872,623.5034872
CL(32:2)(38:7)+NH4,1436.9591,547.4721872,621.4877872
CL(32:2)(40:0)+NH4,1479.0999,547.4721872,663.6285872
CL(32:2)(40:1)+NH4,1477.0842,547.4721872,661.6128872
CL(32:2)(40:2)+NH4,1475.0686,547.4721872,659.5972872
CL(32:2)(40:3)+NH4,1473.0529,547.4721872,657.5815872
CL(32:2)(40:4)+NH4,1471.0373,547.4721872,655.5659872
CL(32:2)(40:5)+NH4,1469.0217,547.4721872,653.5503872
CL(32:2)(40:6)+NH4,1467.006,547.4721872,651.5346872
CL(32:2)(40:7)+NH4,1464.9904,547.4721872,649.5190872
CL(32:2)(40:8)+NH4,1462.9748,547.4721872,647.5034872
CL(32:2)(40:9)+NH4,1460.9591,547.4721872,645.4877872
CL(32:2)(42:0)+NH4,1507.1312,547.4721872,691.6598872
CL(32:2)(42:1)+NH4,1505.1155,547.4721872,689.6441872
CL(32:2)(42:10)+NH4,1486.9748,547.4721872,671.5034872
CL(32:2)(42:2)+NH4,1503.0999,547.4721872,687.6285872
CL(32:2)(42:3)+NH4,1501.0842,547.4721872,685.6128872
CL(32:2)(42:4)+NH4,1499.0686,547.4721872,683.5972872
CL(32:2)(42:5)+NH4,1497.0529,547.4721872,681.5815872
CL(32:2)(42:6)+NH4,1495.0373,547.4721872,679.5659872
CL(32:2)(42:7)+NH4,1493.0217,547.4721872,677.5503872
CL(32:2)(42:8)+NH4,1491.006,547.4721872,675.5346872
CL(32:2)(42:9)+NH4,1488.9904,547.4721872,673.5190872
CL(32:2)(44:0)+NH4,1535.1624,547.4721872,719.6910872
CL(32:2)(44:10)+NH4,1515.006,547.4721872,699.5346872
CL(32:2)(44:11)+NH4,1512.9904,547.4721872,697.5190872
CL(32:2)(44:12)+NH4,1510.9748,547.4721872,695.5034872
CL(32:2)(44:5)+NH4,1525.0842,547.4721872,709.6128872
CL(32:2)(44:6)+NH4,1523.0686,547.4721872,707.5972872
