ether-OxPE,[M-H]-,[M-H]-SN2 acyl chain,FA SN2,FA SN2-H2O,FA SN2-2H2O
OxPE(16:0e/18:0(1O))-H,720.5543,438.2985,299.2592,281.2486,0.01
OxPE(16:0e/18:0(1O(1Cyc)))-H,718.5387,438.2985,297.2435,0.01,0.01
OxPE(16:0e/18:0(2O))-H,736.5493,438.2985,315.2541,297.2435,279.233
OxPE(16:0e/18:1(1O))-H,718.5387,438.2985,297.2435,279.233,0.01
OxPE(16:0e/18:1(1O(1Cyc)))-H,716.523,438.2985,295.2279,0.01,0.01
OxPE(16:0e/18:1(2O))-H,734.5336,438.2985,313.2384,295.2279,277.2173
OxPE(16:0e/18:1(3O))-H,750.5285,438.2985,329.2333,311.2228,293.2122
OxPE(16:0e/18:2(1O))-H,716.523,438.2985,295.2279,277.2173,0.01
OxPE(16:0e/18:2(2O))-H,732.5179,438.2985,311.2228,293.2122,275.2017
OxPE(16:0e/18:3(1O))-H,714.5074,438.2985,293.2122,275.2017,0.01
OxPE(16:0e/20:3(1O))-H,742.5387,438.2985,321.2435,303.233,0.01
OxPE(16:0e/20:3(1O(1Cyc)))-H,740.523,438.2985,319.2279,0.01,0.01
OxPE(16:0e/20:3(2O))-H,758.5336,438.2985,337.2384,319.2279,301.2173
OxPE(16:0e/20:3(2O(1Cyc)))-H,756.5179,438.2985,335.2228,317.2122,0.01
OxPE(16:0e/20:3(3O))-H,774.5285,438.2985,353.2333,335.2228,317.2122
OxPE(16:0e/20:3(4O(1Cyc)))-H,790.5234,438.2985,369.2283,351.2177,333.2072
OxPE(16:0e/20:4(1O))-H,740.523,438.2985,319.2279,301.2173,0.01
OxPE(16:0e/20:4(1O(1Cyc)))-H,738.5074,438.2985,317.2122,0.01,0.01
OxPE(16:0e/20:4(2O))-H,756.5179,438.2985,335.2228,317.2122,299.2017
OxPE(16:0e/20:4(3O))-H,772.5129,438.2985,351.2177,333.2072,315.1966
OxPE(16:0e/20:4(3O(2Cyc)))-H,772.5129,438.2985,351.2177,333.2072,0.01
OxPE(16:0e/20:4(4O(1Cyc)))-H,788.5078,438.2985,367.2126,349.2021,331.1915
OxPE(16:0e/20:4(4O(2Cyc)))-H,788.5078,438.2985,367.2126,349.2021,331.1915
OxPE(16:0e/20:5(1O))-H,738.5074,438.2985,317.2122,299.2017,0.01
OxPE(16:0e/20:5(1O(1Cyc)))-H,736.4918,438.2985,315.1966,0.01,0.01
OxPE(16:0e/20:5(2O))-H,754.5023,438.2985,333.2071,315.1966,297.186
OxPE(16:0e/20:5(3O))-H,770.4972,438.2985,349.2021,331.1915,313.1809
OxPE(16:0e/20:5(3O(2Cyc)))-H,770.4972,438.2985,349.2021,331.1915,0.01
OxPE(16:0e/20:5(4O(2Cyc)))-H,786.4921,438.2985,365.197,347.1864,329.1758
OxPE(16:0e/22:5(1O(1Cyc)))-H,764.523,438.2985,343.2279,0.01,0.01
OxPE(16:0e/22:5(2O))-H,782.5336,438.2985,361.2384,343.2279,325.2173
OxPE(16:0e/22:6(1O))-H,764.523,438.2985,343.2279,325.2173,0.01
OxPE(16:0e/22:6(2O))-H,780.5179,438.2985,359.2228,341.2122,323.2017
OxPE(16:0e/22:6(3O))-H,796.5129,438.2985,375.2177,357.2072,339.1966
OxPE(16:0e/22:6(4O))-H,812.5078,438.2985,391.2126,373.2021,355.1915
OxPE(18:0e/18:0(1O))-H,748.5856,466.3298,299.2592,281.2486,0.01
OxPE(18:0e/18:0(1O(1Cyc)))-H,746.57,466.3298,297.2435,0.01,0.01
OxPE(18:0e/18:0(2O))-H,764.5806,466.3298,315.2541,297.2435,279.233
OxPE(18:0e/18:1(1O))-H,746.57,466.3298,297.2435,279.233,0.01
OxPE(18:0e/18:1(1O(1Cyc)))-H,744.5543,466.3298,295.2279,0.01,0.01
OxPE(18:0e/18:1(2O))-H,762.5649,466.3298,313.2384,295.2279,277.2173
OxPE(18:0e/18:1(3O))-H,778.5598,466.3298,329.2333,311.2228,293.2122
OxPE(18:0e/18:2(1O))-H,744.5543,466.3298,295.2279,277.2173,0.01
OxPE(18:0e/18:2(2O))-H,760.5493,466.3298,311.2228,293.2122,275.2017
OxPE(18:0e/18:3(1O))-H,742.5387,466.3298,293.2122,275.2017,0.01
OxPE(18:0e/20:3(1O))-H,770.57,466.3298,321.2435,303.233,0.01
OxPE(18:0e/20:3(1O(1Cyc)))-H,768.5543,466.3298,319.2279,0.01,0.01
OxPE(18:0e/20:3(2O))-H,786.5649,466.3298,337.2384,319.2279,301.2173
OxPE(18:0e/20:3(2O(1Cyc)))-H,784.5493,466.3298,335.2228,317.2122,0.01
OxPE(18:0e/20:3(3O))-H,802.5598,466.3298,353.2333,335.2228,317.2122
OxPE(18:0e/20:3(4O(1Cyc)))-H,818.5547,466.3298,369.2283,351.2177,333.2072
OxPE(18:0e/20:4(1O))-H,768.5543,466.3298,319.2279,301.2173,0.01
OxPE(18:0e/20:4(1O(1Cyc)))-H,766.5387,466.3298,317.2122,0.01,0.01
OxPE(18:0e/20:4(2O))-H,784.5493,466.3298,335.2228,317.2122,299.2017
OxPE(18:0e/20:4(3O))-H,800.5442,466.3298,351.2177,333.2072,315.1966
OxPE(18:0e/20:4(3O(2Cyc)))-H,800.5442,466.3298,351.2177,333.2072,0.01
OxPE(18:0e/20:4(4O(1Cyc)))-H,816.5391,466.3298,367.2126,349.2021,331.1915
OxPE(18:0e/20:4(4O(2Cyc)))-H,816.5391,466.3298,367.2126,349.2021,331.1915
OxPE(18:0e/20:5(1O))-H,766.5387,466.3298,317.2122,299.2017,0.01
OxPE(18:0e/20:5(1O(1Cyc)))-H,764.523,466.3298,315.1966,0.01,0.01
OxPE(18:0e/20:5(2O))-H,782.5336,466.3298,333.2071,315.1966,297.186
OxPE(18:0e/20:5(3O))-H,798.5285,466.3298,349.2021,331.1915,313.1809
OxPE(18:0e/20:5(3O(2Cyc)))-H,798.5285,466.3298,349.2021,331.1915,0.01
OxPE(18:0e/20:5(4O(2Cyc)))-H,814.5234,466.3298,365.197,347.1864,329.1758
OxPE(18:0e/22:5(1O(1Cyc)))-H,792.5543,466.3298,343.2279,0.01,0.01
OxPE(18:0e/22:5(2O))-H,810.5649,466.3298,361.2384,343.2279,325.2173
OxPE(18:0e/22:6(1O))-H,792.5543,466.3298,343.2279,325.2173,0.01
OxPE(18:0e/22:6(2O))-H,808.5493,466.3298,359.2228,341.2122,323.2017
OxPE(18:0e/22:6(3O))-H,824.5442,466.3298,375.2177,357.2072,339.1966
OxPE(18:0e/22:6(4O))-H,840.5391,466.3298,391.2126,373.2021,355.1915
OxPE(18:1e/18:0(1O))-H,746.57,464.3141,299.2592,281.2486,0.01
OxPE(18:1e/18:0(1O(1Cyc)))-H,744.5543,464.3141,297.2435,0.01,0.01
OxPE(18:1e/18:0(2O))-H,762.5649,464.3141,315.2541,297.2435,279.233
OxPE(18:1e/18:1(1O))-H,744.5543,464.3141,297.2435,279.233,0.01
OxPE(18:1e/18:1(1O(1Cyc)))-H,742.5387,464.3141,295.2279,0.01,0.01
OxPE(18:1e/18:1(2O))-H,760.5493,464.3141,313.2384,295.2279,277.2173
OxPE(18:1e/18:1(3O))-H,776.5442,464.3141,329.2333,311.2228,293.2122
OxPE(18:1e/18:2(1O))-H,742.5387,464.3141,295.2279,277.2173,0.01
OxPE(18:1e/18:2(2O))-H,758.5336,464.3141,311.2228,293.2122,275.2017
OxPE(18:1e/18:3(1O))-H,740.523,464.3141,293.2122,275.2017,0.01
OxPE(18:1e/20:3(1O))-H,768.5543,464.3141,321.2435,303.233,0.01
OxPE(18:1e/20:3(1O(1Cyc)))-H,766.5387,464.3141,319.2279,0.01,0.01
OxPE(18:1e/20:3(2O))-H,784.5493,464.3141,337.2384,319.2279,301.2173
OxPE(18:1e/20:3(2O(1Cyc)))-H,782.5336,464.3141,335.2228,317.2122,0.01
OxPE(18:1e/20:3(3O))-H,800.5442,464.3141,353.2333,335.2228,317.2122
OxPE(18:1e/20:3(4O(1Cyc)))-H,816.5391,464.3141,369.2283,351.2177,333.2072
OxPE(18:1e/20:4(1O))-H,766.5387,464.3141,319.2279,301.2173,0.01
OxPE(18:1e/20:4(1O(1Cyc)))-H,764.523,464.3141,317.2122,0.01,0.01
OxPE(18:1e/20:4(2O))-H,782.5336,464.3141,335.2228,317.2122,299.2017
OxPE(18:1e/20:4(3O))-H,798.5285,464.3141,351.2177,333.2072,315.1966
OxPE(18:1e/20:4(3O(2Cyc)))-H,798.5285,464.3141,351.2177,333.2072,0.01
OxPE(18:1e/20:4(4O(1Cyc)))-H,814.5234,464.3141,367.2126,349.2021,331.1915
OxPE(18:1e/20:4(4O(2Cyc)))-H,814.5234,464.3141,367.2126,349.2021,331.1915
OxPE(18:1e/20:5(1O))-H,764.523,464.3141,317.2122,299.2017,0.01
OxPE(18:1e/20:5(1O(1Cyc)))-H,762.5074,464.3141,315.1966,0.01,0.01
OxPE(18:1e/20:5(2O))-H,780.5179,464.3141,333.2071,315.1966,297.186
OxPE(18:1e/20:5(3O))-H,796.5129,464.3141,349.2021,331.1915,313.1809
OxPE(18:1e/20:5(3O(2Cyc)))-H,796.5129,464.3141,349.2021,331.1915,0.01
OxPE(18:1e/20:5(4O(2Cyc)))-H,812.5078,464.3141,365.197,347.1864,329.1758
OxPE(18:1e/22:5(1O(1Cyc)))-H,790.5387,464.3141,343.2279,0.01,0.01
OxPE(18:1e/22:5(2O))-H,808.5493,464.3141,361.2384,343.2279,325.2173
OxPE(18:1e/22:6(1O))-H,790.5387,464.3141,343.2279,325.2173,0.01
OxPE(18:1e/22:6(2O))-H,806.5336,464.3141,359.2228,341.2122,323.2017
OxPE(18:1e/22:6(3O))-H,822.5285,464.3141,375.2177,357.2072,339.1966
OxPE(18:1e/22:6(4O))-H,838.5234,464.3141,391.2126,373.2021,355.1915
